ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_Ks_Left,WIND_Ks_Right,WIND_Ks_Top,WIND_Ks_Bott,Arch
THAnt_ID1608101520_44,4,OFas,Ostfassade,OFas_RhANT,Ostfassade_RhANT,RhANT,"0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_45,6,RhANT,RathausAntwerpen,RhANT,RathausAntwerpen,,"0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_822,1,MS50,Mittelrisalitstein79,MS50_MRis_OFas_RhANT,Mittelrisalitstein79_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,07","0,14",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_832,1,MS40,Mittelrisalitstein54,MS40_MRis_OFas_RhANT,Mittelrisalitstein54_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,07","0,31",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_833,1,MS39,Mittelrisalitstein53,MS39_MRis_OFas_RhANT,Mittelrisalitstein53_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,07","0,86",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_846,1,MS26,Mittelrisalitstein32,MS26_MRis_OFas_RhANT,Mittelrisalitstein32_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,07","1,19",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_870,1,MS2,Mittelrisalitstein2,MS2_MRis_OFas_RhANT,Mittelrisalitstein2_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,07","1,23",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_837,1,MS35,Mittelrisalitstein76,MS35_MRis_OFas_RhANT,Mittelrisalitstein76_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,08","0,56",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_838,1,MS34,Mittelrisalitstein75,MS34_MRis_OFas_RhANT,Mittelrisalitstein75_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,08","0,31",3,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_839,1,MS33,Mittelrisalitstein74,MS33_MRis_OFas_RhANT,Mittelrisalitstein74_MRis_OFas_RhANT,MRis_OFas_RhANT,"0,08","0,16",3,0,0,0,0,0,0,0,0,0,0
