ID,Hierarchy,Object,Name,ShortName,Longname,Link,Length,Height,Depth,Row,Level,WIND,WIND_Top,WIND_Bott,WIND_Ks_Vert,WIND_Ks_Hor,Cornice
SchB_ID160920113137_25,1,FS1,Fassadenstein1,FS1_WFas_Schuetting,Fassadenstein1_WFas_Schuetting,WFas_Schuetting,"7,12","38,16","0,00",4,0,0,0,0,0,0,0
SchB_ID160920113137_26,1,FS2,Fassadenstein2,FS2_WFas_Schuetting,Fassadenstein2_WFas_Schuetting,WFas_Schuetting,"28,72","38,62","0,00",3,0,1,0,0,0,0,0
SchB_ID160920113137_27,1,FS3,Fassadenstein3,FS3_WFas_Schuetting,Fassadenstein3_WFas_Schuetting,WFas_Schuetting,"78,32","37,24","0,00",5,0,0,0,0,0,0,0
SchB_ID160920113137_29,1,FS4,Fassadenstein4,FS4_WFas_Schuetting,Fassadenstein4_WFas_Schuetting,WFas_Schuetting,"45,63","10,20","0,00",8,1,0,0,0,0,0,0
SchB_ID160920113137_30,1,FS5,Fassadenstein5,FS5_WFas_Schuetting,Fassadenstein5_WFas_Schuetting,WFas_Schuetting,"29,64","10,20","0,00",8,1,0,0,0,0,0,0
SchB_ID160920113137_34,1,FS6,Fassadenstein6,FS6_WFas_Schuetting,Fassadenstein6_WFas_Schuetting,WFas_Schuetting,"47,76","10,20","0,00",8,1,0,0,0,0,0,0
SchB_ID160920113137_35,1,FS7,Fassadenstein7,FS7_WFas_Schuetting,Fassadenstein7_WFas_Schuetting,WFas_Schuetting,"83,93","10,20","0,00",8,1,0,0,0,0,0,0
SchB_ID160920113137_39,1,FS8,Fassadenstein8,FS8_WFas_Schuetting,Fassadenstein8_WFas_Schuetting,WFas_Schuetting,"84,90","10,20","0,00",8,1,0,0,0,0,0,0
SchB_ID160920113137_43,1,FS9,Fassadenstein9,FS9_WFas_Schuetting,Fassadenstein9_WFas_Schuetting,WFas_Schuetting,"62,20","10,20","0,00",8,1,0,0,0,0,0,0
SchB_ID160920113137_44,1,FS10,Fassadenstein10,FS10_WFas_Schuetting,Fassadenstein10_WFas_Schuetting,WFas_Schuetting,"70,36","46,65","0,00",9,1,0,0,0,0,0,0
SchB_ID160920113137_52,1,FS11,Fassadenstein11,FS11_WFas_Schuetting,Fassadenstein11_WFas_Schuetting,WFas_Schuetting,"48,32","44,52","0,00",10,1,0,0,0,0,0,0
SchB_ID160920113137_55,1,FS12,Fassadenstein12,FS12_WFas_Schuetting,Fassadenstein12_WFas_Schuetting,WFas_Schuetting,"43,04","44,06","0,00",11,1,0,0,0,0,0,0
SchB_ID160920113137_57,1,FS13,Fassadenstein13,FS13_WFas_Schuetting,Fassadenstein13_WFas_Schuetting,WFas_Schuetting,"12,07","44,67","0,00",12,1,0,0,0,0,0,0
SchB_ID160920113137_60,1,FS14,Fassadenstein14,FS14_WFas_Schuetting,Fassadenstein14_WFas_Schuetting,WFas_Schuetting,"52,64","40,25","0,00",13,1,0,0,0,0,0,0
SchB_ID160920113137_66,1,FS15,Fassadenstein15,FS15_WFas_Schuetting,Fassadenstein15_WFas_Schuetting,WFas_Schuetting,"58,99","46,65","0,00",9,1,0,0,0,0,0,0
SchB_ID160920113137_69,1,FS16,Fassadenstein16,FS16_WFas_Schuetting,Fassadenstein16_WFas_Schuetting,WFas_Schuetting,"74,90","44,52","0,00",10,1,0,0,0,0,0,0
SchB_ID160920113137_74,1,FS17,Fassadenstein17,FS17_WFas_Schuetting,Fassadenstein17_WFas_Schuetting,WFas_Schuetting,"62,47","44,06","0,00",11,1,0,0,0,0,0,0
SchB_ID160920113137_77,1,FS18,Fassadenstein18,FS18_WFas_Schuetting,Fassadenstein18_WFas_Schuetting,WFas_Schuetting,"60,79","44,67","0,00",12,1,0,0,0,0,0,0
SchB_ID160920113137_80,1,FS19,Fassadenstein19,FS19_WFas_Schuetting,Fassadenstein19_WFas_Schuetting,WFas_Schuetting,"57,03","40,25","0,00",13,1,0,0,0,0,0,0
SchB_ID160920113137_81,1,FS20,Fassadenstein20,FS20_WFas_Schuetting,Fassadenstein20_WFas_Schuetting,WFas_Schuetting,"44,39","40,25","0,00",13,1,0,0,0,0,0,0
SchB_ID160920113137_84,1,FS21,Fassadenstein21,FS21_WFas_Schuetting,Fassadenstein21_WFas_Schuetting,WFas_Schuetting,"53,22","28,12","0,00",14,1,0,0,0,0,0,0
SchB_ID160920113137_87,1,FS22,Fassadenstein22,FS22_WFas_Schuetting,Fassadenstein22_WFas_Schuetting,WFas_Schuetting,"65,25","28,12","0,00",14,1,0,0,0,0,0,0
SchB_ID160920113137_90,1,FS23,Fassadenstein23,FS23_WFas_Schuetting,Fassadenstein23_WFas_Schuetting,WFas_Schuetting,"45,36","40,25","0,00",13,1,0,0,0,0,0,0
SchB_ID160920113137_93,1,FS24,Fassadenstein24,FS24_WFas_Schuetting,Fassadenstein24_WFas_Schuetting,WFas_Schuetting,"61,88","46,65","0,00",9,1,0,0,0,0,0,0
SchB_ID160920113137_94,1,FS25,Fassadenstein25,FS25_WFas_Schuetting,Fassadenstein25_WFas_Schuetting,WFas_Schuetting,"36,20","22,63","0,00",9,1,0,0,0,0,0,0
SchB_ID160920113137_95,1,FS26,Fassadenstein26,FS26_WFas_Schuetting,Fassadenstein26_WFas_Schuetting,WFas_Schuetting,"32,68","22,63","0,00",9,1,0,0,0,0,0,0
SchB_ID160920113137_96,1,FS27,Fassadenstein27,FS27_WFas_Schuetting,Fassadenstein27_WFas_Schuetting,WFas_Schuetting,"58,44","46,65","0,00",9,1,0,0,0,0,0,0
