ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level
GewB_ID160920152711_3,1,FS1,Fassadenstein1,FS1_OFas_BrGe,Fassadenstein1_OFas_BrGe,OFas_BrGe,"0,35","0,11",1
GewB_ID160920152711_4,1,FS2,Fassadenstein2,FS2_OFas_BrGe,Fassadenstein2_OFas_BrGe,OFas_BrGe,"0,14","0,11",1
GewB_ID160920152711_5,1,FS3,Fassadenstein3,FS3_OFas_BrGe,Fassadenstein3_OFas_BrGe,OFas_BrGe,"0,10","0,11",1
GewB_ID160920152711_6,1,FS4,Fassadenstein4,FS4_OFas_BrGe,Fassadenstein4_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_7,1,FS5,Fassadenstein5,FS5_OFas_BrGe,Fassadenstein5_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_8,1,FS6,Fassadenstein6,FS6_OFas_BrGe,Fassadenstein6_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_9,1,FS7,Fassadenstein7,FS7_OFas_BrGe,Fassadenstein7_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_10,1,FS8,Fassadenstein8,FS8_OFas_BrGe,Fassadenstein8_OFas_BrGe,OFas_BrGe,"0,35","0,10",1
GewB_ID160920152711_11,1,FS9,Fassadenstein9,FS9_OFas_BrGe,Fassadenstein9_OFas_BrGe,OFas_BrGe,"0,14","0,10",1
GewB_ID160920152711_12,1,FS10,Fassadenstein10,FS10_OFas_BrGe,Fassadenstein10_OFas_BrGe,OFas_BrGe,"0,10","0,10",1
GewB_ID160920152711_13,1,FS11,Fassadenstein11,FS11_OFas_BrGe,Fassadenstein11_OFas_BrGe,OFas_BrGe,"0,39","0,11",1
GewB_ID160920152711_14,1,FS12,Fassadenstein12,FS12_OFas_BrGe,Fassadenstein12_OFas_BrGe,OFas_BrGe,"0,06","0,11",1
GewB_ID160920152711_15,1,FS13,Fassadenstein13,FS13_OFas_BrGe,Fassadenstein13_OFas_BrGe,OFas_BrGe,"0,28","0,12",1
GewB_ID160920152711_16,1,FS14,Fassadenstein14,FS14_OFas_BrGe,Fassadenstein14_OFas_BrGe,OFas_BrGe,"0,05","0,12",1
GewB_ID160920152711_17,1,FS15,Fassadenstein15,FS15_OFas_BrGe,Fassadenstein15_OFas_BrGe,OFas_BrGe,"0,27","0,12",1
GewB_ID160920152711_18,1,FS16,Fassadenstein16,FS16_OFas_BrGe,Fassadenstein16_OFas_BrGe,OFas_BrGe,"0,15","0,11",1
GewB_ID160920152711_19,1,FS17,Fassadenstein17,FS17_OFas_BrGe,Fassadenstein17_OFas_BrGe,OFas_BrGe,"0,39","0,13",1
GewB_ID160920152711_20,1,FS18,Fassadenstein18,FS18_OFas_BrGe,Fassadenstein18_OFas_BrGe,OFas_BrGe,"0,06","0,13",1
GewB_ID160920152711_21,1,FS19,Fassadenstein19,FS19_OFas_BrGe,Fassadenstein19_OFas_BrGe,OFas_BrGe,"0,15","0,13",1
GewB_ID160920152711_22,1,FS20,Fassadenstein20,FS20_OFas_BrGe,Fassadenstein20_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_23,1,FS21,Fassadenstein21,FS21_OFas_BrGe,Fassadenstein21_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_24,1,FS22,Fassadenstein22,FS22_OFas_BrGe,Fassadenstein22_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_25,1,FS23,Fassadenstein23,FS23_OFas_BrGe,Fassadenstein23_OFas_BrGe,OFas_BrGe,"0,30","0,13",1
GewB_ID160920152711_26,1,FS24,Fassadenstein24,FS24_OFas_BrGe,Fassadenstein24_OFas_BrGe,OFas_BrGe,"0,26","0,11",1
GewB_ID160920152711_27,1,FS25,Fassadenstein25,FS25_OFas_BrGe,Fassadenstein25_OFas_BrGe,OFas_BrGe,"0,07","0,11",1
GewB_ID160920152711_28,1,FS26,Fassadenstein26,FS26_OFas_BrGe,Fassadenstein26_OFas_BrGe,OFas_BrGe,"0,08","0,11",1
GewB_ID160920152711_29,1,FS27,Fassadenstein27,FS27_OFas_BrGe,Fassadenstein27_OFas_BrGe,OFas_BrGe,"0,21","0,13",1
GewB_ID160920152711_30,1,FS28,Fassadenstein28,FS28_OFas_BrGe,Fassadenstein28_OFas_BrGe,OFas_BrGe,"0,20","0,13",1
GewB_ID160920152711_31,1,FS29,Fassadenstein29,FS29_OFas_BrGe,Fassadenstein29_OFas_BrGe,OFas_BrGe,"0,21","0,13",1
GewB_ID160920152711_32,1,FS30,Fassadenstein30,FS30_OFas_BrGe,Fassadenstein30_OFas_BrGe,OFas_BrGe,"0,20","0,13",1
GewB_ID160920152711_33,1,FS31,Fassadenstein31,FS31_OFas_BrGe,Fassadenstein31_OFas_BrGe,OFas_BrGe,"0,26","0,10",1
GewB_ID160920152711_34,1,FS32,Fassadenstein32,FS32_OFas_BrGe,Fassadenstein32_OFas_BrGe,OFas_BrGe,"0,07","0,10",1
GewB_ID160920152711_35,1,FS33,Fassadenstein33,FS33_OFas_BrGe,Fassadenstein33_OFas_BrGe,OFas_BrGe,"0,08","0,10",1
GewB_ID160920152711_36,1,FS34,Fassadenstein34,FS34_OFas_BrGe,Fassadenstein34_OFas_BrGe,OFas_BrGe,"0,27","0,11",1
GewB_ID160920152711_37,1,FS35,Fassadenstein35,FS35_OFas_BrGe,Fassadenstein35_OFas_BrGe,OFas_BrGe,"0,07","0,11",1
GewB_ID160920152711_38,1,FS36,Fassadenstein36,FS36_OFas_BrGe,Fassadenstein36_OFas_BrGe,OFas_BrGe,"0,16","0,12",1
GewB_ID160920152711_39,1,FS37,Fassadenstein37,FS37_OFas_BrGe,Fassadenstein37_OFas_BrGe,OFas_BrGe,"0,05","0,12",1
GewB_ID160920152711_40,1,FS38,Fassadenstein38,FS38_OFas_BrGe,Fassadenstein38_OFas_BrGe,OFas_BrGe,"0,21","0,12",1
GewB_ID160920152711_41,1,FS39,Fassadenstein39,FS39_OFas_BrGe,Fassadenstein39_OFas_BrGe,OFas_BrGe,"0,07","0,11",1
GewB_ID160920152711_42,1,FS40,Fassadenstein40,FS40_OFas_BrGe,Fassadenstein40_OFas_BrGe,OFas_BrGe,"0,27","0,13",1
GewB_ID160920152711_43,1,FS41,Fassadenstein41,FS41_OFas_BrGe,Fassadenstein41_OFas_BrGe,OFas_BrGe,"0,07","0,13",1
