Datum,Titel,Ereignis,Personen,Fundort,Inventarnr/Signatur,Folio,Transkription
[G]15960906,"Quittung über Bezahlung des Schiffers Frederick Claesz durch Bürgermeister von Leiden, Beschädigte Ware: Claes Rippertsz bürgt für seinen Sohn","Quittung für die Bezahlung des Schiffers Frederick Claesz aus Emden: Claes Rippertsz, Bürger der Stadt Leiden und Vater des Schiffers Frederick Claesz aus Emden, bürgt für die Transportschäden seines Sohnes. Verladen der Teillieferung in Vegesack am 07 - 07 - 1596 von 269 ""stuecken graewen behouwen Bocke=borger steen"". Nach Zählung von Stadtsteinhauer Claes Cornelisz sind aber nur 261 Stücke unbeschädigt ausgeladen worden. Vater Rippertsz steht mit seinem Vermögen für den Schaden ein.","Frederick Claesz, Claes Rippertsz, Claes Cornelisz, Jan Brouwer Jansz",ELO,0501A 7821,unfoliert,
[J]15960913,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Verladung des Steins auf zwei Schiffe, Anforderung eines zweiten, Erneuerung beschädigter Steinelemente durch Lüder von Bentheim","Mitteilung über die Beladung der Schiffe von Franz Jansz de Mey und Cornelis Jansz, da aber noch Material übrig ist, hat Andries van der Meulen einen dritten Schiffer beauftragt. Die drei Schiffe transportieren 381 Stück Stein, darunter 41 Stücke für die Treppe. Bei Beladung Beschädigungen an sechs ""Cantkiens"", die Lüder von Bentheim kostenlos ausbessern wird. Bezahlung der dritten Rate Lüder von Bentheims an Maritni 1596 wird Andries van der Meulen durchführen, Wechsel läuft über Baptista Oyens. Schiffer Frederick Claesz ist noch nicht nach Bremen zurückgekehrt.","Andries van der Meulen, Daniel van der Meulen, Franz Jansz de Mey, Cornelis Jansz, Lüder von Bentheim, Baptista Oyens, Frederick Claesz, Martini(?)",ELO,0096 593c,175,
[G]15961009,"Rechnungsbucheintrag über Bezahlung der Schiffer Franz Jansz de Mey, Cornelis Jansz und Edsart Edsaretsz","Bezahlung der Schiffer Franz Jansz de Mey, Cornelis Janzs und Edsart Edsaretsz, alle aus Emden, für den Transport von 380 bzw. 81 Stück behauenen Stein.","Franz Jansz de Mey, Cornelis Jansz, Edsart Edsaretsz, Andries van der Meulen, Lüder von Bentheim, Frans Willemsz, Bürgermeister der Stadt Leiden",StAB,2-p.2.n.6.b.Aa.2,unfoliert,
[G]15961012,Quittung über Lohnauszahlung an Claes Cornelisz und Harmen Claesz für Schiffslöschung,Quittung über Löschlohn für Claes Cornelisz und Harmen Claesz für sechs Tage zusammen 8fl-2st.,"Claes Cornelisz, Harmen Claesz, Andires Jacobsz",ELO,0501A ???,,
[J]15961019,Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden bezüglich dessen Privathaus,Schwierigkeiten mit Daniels Privathaus werden erwähnt.,"Andries van der Meulen, Daniel van der Meulen",ELO,0096 593c,190 - 193,
[J]15961110,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Bezahlung der dritten Rate von Lüder von Bentheim",Bezahlung von Lüder von Bentheim am vergangenen Michaelistag. Dafür hat Andries van der Meulen die 550 Reichstaler über Johan Wachman und Albert van Bommelen gewechselt. Hugo Geertss aus Rotterdam soll nun in Leiden bezahlt werden.,"Andries van der Meulen, Daniel van der Meulen, Lüder von Bentheim, Johan Wachman, Albert van Bommelen, Hugo Geertss",ELO,0096 593c,208 - 209,
[J]15961111,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Geldwechsel über Hugo Geertss(?) für die dritte Rate an Lüder von Bentheim","Mitteilung darüber, dass Andries in Daniels Namen Geld bei Johan Wachman und Albert van Bommelen gezogen hat. Hugo Geertss soll das Geld laut Andries Wechselbrief in Leiden in Empfang nehmen. Der Rat der Stadt Leiden hat in einem Brief an Andries erlaubt, Geld in seinem Namen zu ziehen. Das konnte nicht ausgeführt werden, da Andries van der Meulen nicht den Namen des Rentmeisters kennt.","Andries van der Meulen, Daniel van der Meulen, Johan Wachman, Albert von Bommelen, Rat der Stadt Leiden, Lüder von Bentheim, Hugo Geertss",ELO,0096 593c,211,
[G]15961116,Quittung über Bezahlung von Claes Cornelisz und Harmen Claesz für Reparaturen am Rathausturm,Claes Cornelisz und Harmen Claesz erhalten für Reparaturen am Rathausturm 4fl - 11st.,"Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO ,??,,
[G]15961216,"Rechnungsbeilage, Bezahlung der dritten Rate an Lüder von Bentheim über die Gebrüder van der Meulen","Bezahlung der dritten Rate an Lüder von Bentheim über Hugo Evertsz und die Gebrüder van der Meulen. Wechsel von 1365 Gulden durch Hugo Everts aus Rotterdam über Andries und Daniel van der Meulen, um die dirtte Rate an Lüder von Bentheim zu bezahlen.","Bürgermeister der Stadt Leiden, Claes Adreaensz, Isaack [??], Hugo Evertsz, Andries van der Meulen, Daniel van der Meulen, Lüder von Bentheim",StAB,2-p.2.n.6.b.Aa.2,unfoliert,
[J]15961216,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Vollendung des Privathauses",Bezugnahme auf Vollendung des Privathauses Daniel van der Meulens mit Ausnahme der Treppe.,"Andries van der Meulen, Daniel van der Meulen",ELO,0096 593c,"234, 236",
[G]15970112,"Brief von Lieven de Key aus Haarlem an Daniel van der Meulen in Leiden, Übersendung von zwei Stücken Steins für Treppe des Privathauses",Übersendung von Stein für die Treppe von Daniel van der Meulens Privathaus an der Rapenburg.,"Lieven de Key, Daniel van der Meulen",ELO,0096 393,9 - 10,
[G]15970121,"Brief der Stadt Leiden an Lüder von Bentheim in Bremen, Erinnerung an Übersendung von Stein und Werkgesellen","Erinnerungsschreiben des leidener Rates an Lüder von Bentheim, damit er bis Ende Mai 1597 die Steine für das Rathaus fertigstellt und darüberhinaus einen Werkgesellen nach Leiden schickt.","Lüder von Bentheim, Bürgermeister und Rat der Stadt Leiden",ELO,0501A 299,51v - 52r,
[G]15970305,"Brief der Stadt Leiden an Lüder von Bentheim in Bremen, Bitte um Übersendung der Werkgesellen, zusätzliche Steinbestellung","Schreiben an Lüder von Bentheim mit der Bitte, zwei Werkgesellen nach Leiden zu senden. Der Rat erwartet Lüder von Bentheim mit der letzten Steinlieferung ebenfalls in Leiden. Bitte um 25 zusätzliche Fuder unbehauenen Bückeberger Steins (400 Kubikfuß).","Lüder von Bentheim, Bürgermeister und Rat der Stadt Leiden",ELO,0501A 299,54r - 54v,
