Datum,Titel,Kommentar,Personen,Literatur,Archiv,Signatur/Inventarnr,Folierung
[J] 1561-05-12 ,Bezahlung von Anthonis van Seron durch Peter de Hasefür kommende Lieferungen von Bückeberger Stein und die bereits gelieferten fünf Stücke Stein,"Neben der Bezahlung von  der ""Leueringhe vanden buckenberchsschen steen"" von ""Seuen hondert en vijffenveertich carolus gulden"", dabei sind 600 Gulden für zukünftige Lieferungen und ""hondertviffenveertick gul Jn betalinge van vijff stucken steens bij hem alhier geleuert..."" Hinzu kommt die Bezahlung von Kost und Logie. Anthonis van Seron quittiert den Geldempfang selbst.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669), Lübbecke; Rathaus Antwerpen","Peter de Haze, Anthonis van Seron (aus Luebeke)",,BE SA ,PK#2197,70v-71r
[J] 1561-06-30 ,"Schreiben des Antwerpener Rates an Graf Otto zu Holstein-Schaumburg bezüglich der Steine für das Antwerpener Rathaus, die Anthonis van Seron aus Luebeke liefern soll","Der Rat der Stadt Anwerpen wendet sich mit der Bitte um Hilfe beim Steintransport aus den Bückeberger Steinbrüchen nach Antwerpen an den Grafen zu Holstein-Schaumburg. Er nennt Anthonis van Seron ""woonachtich tot Lubeke"" als seinen Handelspartner und hofft, dass diesem der Kauf von Sandstein erlaubt wird.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669), Lübbecke, Stadthagen; Rathaus Antwerpen","Graf Otto zu Holstein-Schaumburg, Bürgermeister und Rat von Antwerpen, Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,NLA Bü  , L 1 Nr. 6913,1r-2v.
[J] 1561-08-05,Vertrag zwischen Graf Otto zu Holstein-Schaumburg und Anthonis van Seron in Vertretung des Rates von Antwerpen über Steinlieferungen zwischen 1561 und 1563.,"Im Vertrag wird festgelegt, dass Anthonis von Seron Haustein am Bückeberg kaufen darf und 400 Fuder zwischen jetzt und Michaels abführen lassen darf. Insgesamt ist ihm erlaubt, bis Michaels 1563 Stein aus den Bückeberger Brüchen für den Antwerpener Rathausbau zu erstehen. Aber er wird nicht von Zoll und Bergwahr befreit; diese wird durch die Zahlung von 500 Taler durch die Stadt Antwerpen abgegolten.
Verknüpfungswunsch: Stadthagen; Rathaus Antwerpen","Graf Otto zu Holstein-Schaumburg, Rat von Antwerpen, Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,NLA Bü ,L 1 Nr. 6913,3r-v
[J] 1561-08-05,Verzeichnis der Abmachung zwischen Graf Otto zu Holstein-Schaumburg und Anthonis van Seron,"bezieht sich inhaltlich auf [J] 1561-08-05. Anthonis von Seron soll 500 Taler zahlen und der Graf hat Vorrang bei der Steinabnahme vom Bückeberg, falls er selbst Material für Bauwerke benötigt
Verknüpfungswunsch: Antwerpen (ID #669), Bückeberg; Rathaus Antwerpen","Rat von Antwerpen, Graf Otto zu Holstein-Schaumburg, Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,NLA Bü ,L 1 Nr. 6913,7r
[J] 1561-08-05,"Schreiben von Anthonis von Seron aus Obernkirchen an Jacobus Wesebeke,  Pensionaris der Stadt Antwerpen, bezüglich Hilfegesuch bei Durchsetzung von freier Steindurchfahrt in Bremen","Anthonis von Seron versichert Wesebeke, dass er mit dem Grafen Otto von Holstein-Schaumburg über die Ausfuhr von Stein über einen Zeitraum von 2 Jahren übereingekommen sei. Allerdings gebe es Schwierigkeiten mit den Bremer Steinhauern, welche die Schiffe mit Stein für Antwerpen in Bremen aufhalten und für sich beanspruchen würden. Von Seron bittet die Stadt Antwerpen nach Bremen zu schreiben und für freie Passage zu bitten. 
Verknüpfungswunsch: Antwerpen (ID #669), Bremen (ID #668), Obernkirchen (ID #745); Rathaus Antwerpen","Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen), Jacobus Wesebeke (Pensionaris der Stadt Antwerpen), Colyn Mido, Graf Otto zu Holstein-Schaumburg, Prins von Oranije[?]",,BE SA ,PK#314,unfoliert
[J] 1561-08-23 ,"Bezahlung von Jan de Hase, auch für Anthonis van Seron , durch Peter de Hasefür Lieferung von Bückeberger Stein durch Seron","""sult betalen Jan de Hase van wegen ende tot behoeff Anthonis de Seron de Some van Sesse hondert carolus gulden"" für die Lieferung von ""buckenberchschen steene""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Haze, Jan de Haze (Steinhauer, Bruder von Peter de Haze), Anthonis van Seron ((Stein-)Händler)",,BE SA ,PK#2197,138r-v
[J] 1561-12-20 ,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein,"Hinweis auf Löschen mit dem „Roeden craen“. „...betaelt van veertich blocken vanden voers breemerschen steen te lossen vuyten schepen die gelost zyn in nyeuw stadt metten wippen oft takela van elcken block III ½ st copt – VII gul“
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos (Antwerpen), Jan de Haze (Steinhauer Antwerpen), Peter de Haze (Finanzverwalter Rathausbau, Antwerpen), Anthonis van Seron ((Stein-)Händler)",,BE SA ,PK#2197,177v-178r
[J] 1562-01-26 ,"Bezahlung von Jan de Hase in Vertretung für Anthonis van Seron für die Lieferung von Bückeberger Stein, gezahlt durch Peter de Hase","Jan de Hase nimmt für Anthonis von Seron eine Summe von ""thien hondert carolus guld"" entgegen, die dieser für die Lieferung von Bückeberger Stein erhalten soll.
Brabanter Stil (Jahreswechsel Ostern ->  deshalb im Original: 1561)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Jan de Haze (Steinhauer Antwerpen), Anthonis van Seron [de Seron] ((Stein-)Händler), Peter de Hase",,BE SA ,PK#2197,190r
[J] 1562-01-31 - 1562-02-21 ,Bezahlung von Stadtzimmermann Jacob Schoof und seiner Gesellen für Anfertigung eines Unterstandes für die Steinhauer von Bückeberger Stein,"[15610207] „betalen Jan van aerschot tymmerman de some van dertich carolus gulden en twelff stuvers een s in betalinghe van zyn arbeyt die hy met zyn consorten gedaen heeft aen tschatsel te maken op de groote maect tot behoeff van steenhouwers van nyeuwen stadthuyse...“ [15610211] “betalen de dach[?] van tymmerlieden hier boven namel gespecfireet die dese weke geworcht hebben aen dafschutten van Logie gemaect opte merct alle tot behoeff van aennemers en steenhouwers van buckebergschen steen tot lieveringhe van vors nyeuwen stadthuyse...”.
Brabanter Stil (Jahreswechsel an Ostern, deshalb im Original: 1561)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Jacob Schooff (Stadtzimmermeister Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Peter Frans (Zimmergeselle), Jan van Aerschot (Zimmergeselle)",,BE SA ,PK#2197,"191v-192r, 169r"
[J] 1562-02-20 ,Bezahlung von Joachim Vechenoort durch Peter de Hase wegen Feier des Lieferauftrags von Bückeberger Stein in seiner Wirtschaft,"Der Wirt Joachim Vechenoort erhält ""vyfthien carolus gul. drye[?] een halven stuvers"".
Brabanter Stil (Jahreswechsel an Ostern, deshalb im Original: 1561)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Joachim Vechenoort (Gastwirt Antwerpen), Jan de Hase (Steinhauer Antwerpen), Colyn Mido (Steinhauer Antwerpen?), Peter de Hase (Finanzverwalter Rathausbau Antwerpen)",,BE SA ,PK#2197,196r
