Datum,Titel,Kommentar,Personen,Literatur,Archiv,Sig./Inventarnr,Folierung
[J] 1622-02-17,Übernahme der Steinhaueramtslade durch Hindrick Bartels,"„Anno 1622 den 17 february hebbe Ick hinderick barthels van den Erbaren handt werkes de laden entfangen dar In sundt gewesen 60 rickes daler tho 55 grote undt 3 grote“ Er beglaubigt mit seinem Pitzer. 
Verknüpfungswunsch: Bremen (ID #668)","Steinhauer Hinderick Barthels, Steinhaueramt Bremen (ID #5702)",,Fockemuseum,Steinhaueramtsbuch,unfoliert
[J] 1644-11-22,Bildung einer Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung,"Die Deputation bestand aus Herrn Synd. Wachmann, H. H. v. Aschen, H. F. Holle, H. J. Motte, H. O. Cöper, Meimar Schöne, Burch. Lösekanne, Warner Köhne, H. Regenstorf, Henr. Surbick, Gerd Roers, C. Coch, H. Remenschneider, Conr. Toppe, Otto Uhthoff, Jac. Dierks, Jsaac de Potter“
Verknüpfungswunsch: Bremen (ID #668)","Herrn Synd. Wachmann, H. H. v. Aschen, H. F. Holle, H. J. Motte, H. O. Cöper, Meimar Schöne, Burch. Lösekanne, Warner Köhne, H. Regenstorf, Henr. Surbick, Gerd Roers, C. Coch, H. Remenschneider, Conr. Toppe, Otto Uhthoff, Jac. Dierks, Jsaac de Potter“",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1652-03-17,Extrakt aus dem Wittheitsprotokoll betreffend die Reparatur der Börse,"Die Wittheit kommt zu dem Schluss, dass der Zustand des Weinkellers unter dem Börsenplatz unhaltbar sei, da Wasser eindringe und die Haltbarkeit des Gewölbes schädige. Beratungen zwischen den Weinherren, Bauherr und dem Mauerherren zusammen mit anderen Meistern und ihre Absicht, sich an den Rat zu wenden.
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse (muss neu angelegt werden)",Rat der Stadt Bremen (ID #753),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1655,Vermietung eines kleinen Hauses auf Börsenplatz an B. Haken,"Der Müller B. Hake mietet eine kleines Haus auf dem Börsenplatz.
Verknüpfungswunsch: Bremen (ID #668)",Müller B. Hake,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1688-08-XX,Bau des Erdgeschosses scheint abgeschlossen,"„Aug: wurde concludirt daß die leisten daran zu machen u. der Mühlenmeister zu befragen, ob er sich getraue das Gebäude vor den Winter unter Dach zu bringen.“
Verknüpfungswunsch: Bremen (ID #668)","Rat der Stadt Bremen (ID #753), Müller B. Hake (aus Bremen)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1688-10-03,Auftrag der Deputierten Bauherren an Bremer Steinhauergesellen für Präfabrikation von Werksteinen im Winter 1688/89,"„Rechnung Wegens einig Arbeit So die zur Börße deputirte Bauwherren mit denen SteinHauwer Gesellen, alß Henrich Mael, Dirich Lürsen, Waltije Gercken, Tentije Lürsen, Ernst Bielefelt und Hans Ba/ockman verdingen, welche dan Ao 1689 d. 3. Februarij an den BauwMeister fertig gelieffert haben. Vnd laut Ihre rechnung darvon bezahlt No. 28 – 131 Rtl. – 70 Groten. Vnd weil bej diesem accord d[en] Steinhauwern bej [?]lössung und herfuhren der Steine von der schlachte Ihnen Nöthige Handtlangers zu halten versprochen, alß haben darbej gearbeitet 
1.       9ber zwey Soldaten a 1 tag a 12 gr[oten] – 24 gr. 
2.       2 dito 2 Soldaten – 24 gr.          
[…]                                                              
3.       1 xbris Steinhauer Jungen […] 
19. Feb. Dito 3 Soldaten – 36 gr.      
[…] 
 „Den 3. Octob. Haben die zum Bauw der Börse Deputirte Herren mit denen Steinhauwer Gesellen noch Einige Arbeit dießen Winter zu verfertigen bedungen, worbej Ihnen zugesagt ist, daß bej Lossung [?] und herfuhren der Steine so beim Krahnen stehen Ihnen nötige Handlangers sollen gehalten werden.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Henrich Mael (Steinhauergeselle Bremen), Dirich Lürsen (Steinhauergeselle Bremen), Waltijte Gercken (Steinhauergeselle Bremen), Tentije Lürsen (Steinhauergeselle Bremen), Ernst Bielefelt (Steinhauergeselle Bremen), Hans Backman oder Bockman (Steinhauergeselle Bremen), Rat der Stadt Bremen (ID #753) (Deputierte Bauherren)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1689-02-26,Beginn der Baustellenarbeit  der Steinhauergesellen an der Bremer Börse,"„Ao 1689 26. Febr. Haben die Steinhauwer Gesellen im taglohn wider angefangen zu arbeiten, vnd abgelohnet: 
Steinhauwer: Dirich Lürßen – 4 tag a 24 gr. – 1 Rtl. – 24 gr. 
Ernst Biehlefeltt – 5 tag a 24 gr. – 1 Rtl. – 48 gr. 
Henrich Melle – 4 ½ tag a 24 gr. – 1 Rtl. – 36 gr. 
Hanß Beckman – 5 tag a 24 gr. – 1 Rtl. – 48 gr.""
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Dirich Lürßen (Steinhauergeselle Bremen), Ernst Biehlefeltt (Steinhauergeselle Bremen), henrich Melle (Steinhauergeselle Bremen), Hanß Beckman (Steinhauergeselle Bremen)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1689-05-17,Beschlussfassung über die Bedeckung des Daches der Bremer Börse,"„wurde concludirt, das Gebäude mit Schiefer, die Erker mit Kupfer zu decken.“ 
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Rat der Stadt Bremen (ID #753),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1689-09-07,Beschluss der Wittheit Broebes-Entwurf der Bremer Börse endgültig zu vollenden,"„wurde der Abriß der neuerbauten Börse in der Wittheit vertheilt, und beliebt mit dem Architect Brobes <Broebes> zu verdingen, solche vor dem Winter unter dach zu bringen.“ 
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Architekt Broëbes, Rat der Stadt Bremen (ID #753)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1690-01-28,„Löchern“ der Werksteine für den Verbau an der Bremer Börse,"„1690, 28. Januar: Ernst bie[l]feldtt Steinhauwer zahlt vor 6 ½ tag miter der Börse die löcher zu hauen, darin die Eiserne Stangen gesetzt, und mit Bley begossen a 18 gr. – 1 Rtl. – 45 gr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Ernst Bielfedt (Steinhauer Bremen),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1690-04-06,Bezahlung für Bild- und Steinhauerarbeiten für die Bremer Börse,"„d. 6. April abgelohnet
Vier Steinhauwer Jeder tag a 24 gr. f[acit] – 1 Rtl. – 24 gr. 
Demjenigen von Carsten Bartelß 1 tag - -Rtl. – 14 gr. 
Mo. Broebeß vor 6 tag a 24 gr. f. – 2 Rtl. –  
Johann Mehuß Bildthauer – 6 tag a 42 gr. – 3 Rtl. – 36 gr 
Steinhauwere: Dirich Lürsen pro 5 ¾ tag a 24 gr. – 1 Rtl. – 66 gr. 
Ernst Bielfelt vor 6 tag a 24 gr. – 2 Rtl. Tytje Lürßen – 5 ½ tag – 1 Rtl. – 60 gr.
Hans Boeckman – 6 tag – 2 Rtl. 
Carsten Bartelß – 5 ¾ tag a 16 gr. – 1 Rtl. 20 gr.""
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Carsten Bartelß (Steinhauer Bremen), Mo Broebeß, Johann Mehuß (Bildhauer Bremen), Dirich Lürsen (Steinhauer Bremen), Ernst Bielfelt (Steinhauer Bremen), Tytje Lürßen (Steinhauer Bremen), Hans Boeckman (Steinhauer Bremen)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1690-06-13,"Lieferung von „Streckstücken“, „Blockstein“,  „Astrack und sonsten“ für Bremer Börse durch Jochen Fopma","„d. 13. Junij 1690 Jochen Fopma an Streckstücke, Blockstein, Astrack und sonsten gelieffert darfür bezahlet – 120 Rtl. 
M. Albert Brockkamp Seine Rechnung N 5 von gelibert Blocksteine Streckstücke und Astrack bezahlt mit – 105 Rtl. 
M. Wileken van Ham[m]e laut deß Rechnung N 6 fur 60 Ellen geliberte Treppen zahlt – 15 Rtl.     
M. Jost Schlick laut deßen Rechnung No 7 vor beete Steine, Nebens arbeitlohn zahlt mit – 44 Rtl.""
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Steinhändler Jochen Fopma,  Meister Albert Brockkamp, Meister Wileken van Hamm, Meister Jost Schlick",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1690-09-01,Fuhrkosten für „grau werck stein“ vom Werder zur Börse,"„1. Septemb. […] Zahlt an Hendrich van Kampen vor 3 fuhr grauwerckstein [= Fertigprodukte] vom werl nach der Börse zu bringen so Jacob Bielfelt und Albert Bielfelt verschafft a 15 gr. fuhrlohn – 45 gr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Bremer Fuhrmann Henrich van Kampen, Steinhauermeister Jacob Bielfelt und Albert Bielfelt",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
