Datum,Titel,Ereignis,Personen,Literatur,Archiv,Sig./Inv.,Folierung
[G] 1649-02-17,"Schreiben der Stadt Amsterdam an den Rat zu Bremen mit Bitte, Stein für das Amsterdamer Rathaus ohne Abgaben durch Bremen führen zu dürfen","Amsterdamer Regierung schreibt an Rat von Bremen, um diesen zu bitten, den Stein für das neue Rathaus „door u. E. Stadt oft voorby vegesack“ ohne Abgaben führen zu lassen. Dabei beruft sie sich auf die alte Freundschaft zwischen den Städten. Die Passage soll „zonder daer over eeinge tol tvorderen, oock toe erlaten dat de zelve by gelegentheyt voorby vegesack verstwer der gevoert...” Diese Erleichterung will die Stadt Amsterdam bei Gelegenheit zurück geben
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",„Ordin. van zaken“; ID #918; ID #753,,StAB  ,"2-R.8.a Stapelrecht,",unfoliert
[J] 1649-02-19,Auszug aus dem Wittheitsprotokoll über die Beratung des Bremer Rates über Antrag für zollfreie Vorbeischiffung von Stein für das Amsterdamer Rathaus,"In der Wittheit kam es zur Verlesung einer Anfrage aus Amsterdam, ob diese Graustein „ frey und ohne entgeldt die Statt vorbey passiert werden“ könnten. Die Stadt Bremen kommt daraufhin zu dem Schluss, „das die Steine Ihnen nicht allein frey vorbey zu statten, Sondern auch das Ihnen die Zollsach ferner Recommandiert“ werden soll.
Verknüpfungswunsch:
ID #744; ID #1183, ID #668",ID #753; ID #918,,"StAB  Verschiedenes unfoliert, (Scan S. 10 – 11 links)","2-R.8.a Stapelrecht,",unfoliert
[J] 1649-02-24 ,Konzept eines Briefes Stadt Bremen an Amsterdam betr. freie Vorbeifuhr von Hartstein,"Entwurf eines Schreibens des Bremer Rates an Amsterdam mit Gewährung der abgabenfreien Durchfuhr von Sandstein für das neue Amsterdamer Rathaus, und das obwohl die „vreyer vorbeyführung dieser Harttsteine Unserm gemeinen acario und <dieser Statt> commercys nicht wenig abgehett.“ Die Bremer bitten allerdings um die Zusendung von Zertifikaten, welche die Menge und Art des von Amsterdam gekauften Steins spezifizieren, um ihre Kontrollen zu erleichtern. Die Zollfreiheit wird auch gewährt, weil Amsterdam sich gegen den Oldenburger Weserzoll einsetzt.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #753; Johannes Herde (Ratsmitglied Bremen, war kurz zuvor in den Niederlanden), ID #918",,StAB ,2-W.9.d.1 Bd. 6,unfoliert
[J] 1649-03-06,Erneute Verlesung eines Schreibens des Amsterdamer Rates vor der Wittheit mit Bitte um Abgabenfreiheit für Sandstein,"Der Rat von Amsterdam will Zertifikate über die an ihn gelieferten Steinmengen nach Bremen senden, damit dort die Zollfreiheit für den Graustein rechtmäßig erlangt und problemlos umgesetzt werden kann.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",Johann Herde; ID #753; ID #918,,StAB ,2-R.8.a Stapelrecht,unfoliert
[G] 1649-03-10,Schreiben des Stadtsekretärs Gerad Hulft von Amsterdam an Rat der Stadt Bremen bezüglich zollfreier Durchfuhr von Stein für Amsterdamer Rathaus,"Schreiben Gerad Hulfts an Rat von Bremen mit Bezug auf ein früheres Schreiben vom 1649-02-17. Dank für Zusage der Bremer „net alleen Tol-vry voorby in Ad: Stadt maer oock de Vegesack, ende daer in Ed. vorderste gebieden hebben, zal mogen voorby vaeren, daerover vinden wy ons opthoogste aen u. Ed: Achtb. beleertheydt verplight, ende zullen net nalaten telches [?]ande quantiteyt der selver steenen, tot de bouwinge van ons Stadthuys passeerende, met behoorlych [Beoys?] onderdeser Stede zegel, tot voorcomminge van alle frauden, u. Ed. achtb. te doceren, nochts oock veruymen alle gelegentheeden, naer te nemen, om dese onb[?]eresen gunst danckliyck te vergelden.”
Verknüpfungswunsch:
ID #744; ID #1183; ID #668 ",ID #919; ID #918; ID #753,,StAB,2-R.8.a Stapelrecht,unfoliert
1649-04-05,Pass von Herzog zu Braunschweig-Lüneburg bezüglich der freien Durchfuhr von Stein durch Bremen evtl. gedacht für das Amsterdamer Rathaus.,"Freibrief des Herzog von Braunschweig-Lüneburg für seine Gebiete für die Durchfuhr von  „zehn oder 11, 12 aus den Bergen bei Holzmünden gerahe heno stein oder Kalkklucken, weile es die erste probe gewehsen, frey passieret.“ Falls Amsterdam Interesse an diesem Material hat, soll ein Vertrag ausgehandelt und eine Abmachung mit der Stadt Bremen über mögliche Akzisefreiheit getroffen werden.
Verknüpfungswunsch:
ID #744; ID #1183",Herzog August zu Braunschweig-Lüneburg,,StAB ,2-R.8.a. Stapelrecht,unfoliert
[G] 1649-06-15 - 1649-12-15,"Ausgabenübersicht der Thesaurier Bezahlung von Marten Kemeraer, Hendrick Klugkist und Schiffer für Lieferung von Bremer Stein","Abrechnung der Steinlieferungen des Jahres 1649 durch Hendrick Klugkist aus Bremen. Zahlungen an dessen Schwiegervater Marten Kemaraer und an diverse Schiffer (Frachtlohn), z.T. Angaben zu Steinmengen auf Schiffen
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #571; ID #580; Willem Vos (Schiffer), Direck Sluyter (Schiffer), [Lolle?] Pietes (Schiffer), [Marten Lammerack?] (Schiffer), Geret Jans (Schiffer), [Ansche Anschs?] (Schiffer), [Haenen Clotdtman?] (Schiffer), Jan Helgerlo (Schiffer), Marten Cnoop (Schiffer), Volchaert Hendrix (Schiffer)",,SAA ,5039 Inv. 255,12r
[G] 1649-11-23,Schreiben des Amsterdamer Stadtsekretärs C. van Breuning an Rat von Bremen wegen Verzögerung des Steintransfers für das neue Amsterdamer Rathaus (Abschrift in deutscher Schrift und Original),"Der Stadtsekretär von Amsterdam beschwert sich beim Bremer Rat über die langsame Abfuhr der Steine von Bremen. Sie haben gehört, „dat het langsaem overvoeren alleen toe comt door dien de Schepen van u. Ed: Stadt, die zoveel andere vrachten hebben, niet genoeg [h?]ingetal zyn, ofte met beter vrachten geladen, ende mits dien niet tydelyx onse steen over en vaeren.” Deshalb erfolgt die Bitte, “een ledigh Scheeppe zouden mogen oversenden van hier, ofte een vriesch potschip gebruycken, om de versr. toevoeringe behooren te[haesten?]” Amsterdam will sich von Bremer Schiffern unabhängig machen. Zusätzlich wollen sie andere Waren transportieren. Als Ausgleich sollen ähnliche Konditionen für die Bremer in Amsterdam gelten.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #917; ID #753,,StAB,2-R.8.a. Stapelrecht,unfoliert
[G] 1649-12-15 - 1650-19-01 ,Bezahlung der drei Reisen von Geret Gerkes aus Amsterdam nach Bremen,"Geret Gerken wird für seine drei Reisen nach Bremen bezahlt, insgesamt 100 Tage fortgewesen „naar Bremmen op de Kuylen“. Gerken war in Bremen auch bei Hendrick Klugkist.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",[Anske Anshes?]; ID #660; ID #580,  ,SAA ,5039 Inv. 255,12v
[J] 1649-12-29 ,Konzept eines Schreibens des Bremer Rats an den Rat von Amsterdam bezüglich des Abtransportes von Sandstein für das dortige Rathaus mit Bremer oder auswärtigen Schiffern,"Schreiben bezieht sich auf die Anfrage aus Amsterdam die Abfuhr der Steine in Bremen zu beschleunigen. Der Bremer Rat hat nun mit den dortigen Schiffern Rücksprache gehalten und diese hätten „sich dohin erklehrett, das Sie, auff begehren, da Sie sonst keine Frachten haben solten, sich , gegen billigmeßige befrachtung, gantz gern zur abfuhr verstehen wollen, da auch E. Edl. hoch: und wolw. gestp. sonst einige andere Ihrer eigenen, oder Friesische Pottschiffe die Harttsteine abzuholen anhero zu ordinieren <für guth ansehen> wurden, soll solchs zu Ihrem belieben stehen, denselben auch, ohn einigs Unser Schiffer widersprachen, die abfuhr so[?]harte Steine alleine verstattett werden.“
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #753; ID #918,,StAB ,2-R.8.a ,unfoliert
