Datum,Titel,Ereignis,Personen,Literatur,Archiv,Signatur/Inventarnr.,Folierung,Quelle
[J] 1527,Anfrage des Herzogs Otto zu Braunschweig-Lüneburg an den Grafen zu Holstein-Schaumburg mit der Bitte um Stein,"Das Schreiben Herzogs Otto zu Braunschweig-Lüneburg an den Grafen zu Holstein-Schaumburg enthält eine Bitte um Sandstein zur Reparatur der Harburg. Dort war ein schweres Unwetter niedergegangen und es wurden Reparaturmaßnahmen nötig.
Verknüpfungswunsch: ID #11756; ID #29; ID #2; ID #12029","Herzog Otto zu Braunschw.Lüneburg, Graf Jost zu Holstein-Schaumburg",,NLA BÜ, L 1 Nr. 6890,unfoliert,
[J] 1528-11-19 ,Anfrage Herzogs Ottos zu Braunschw.-Lün. an Gräfin Anna zu Holst-Schaum. wegen noch im Bruch befindlicher Fenstersteine,"Herzog wendet sich an Gräfin, um den widrigen Verkauf seiner noch auf dem Bückeberg befindlichen Fenstersteine und anderer Steine zu verhindern, von dem ihn sein Steinhauer Jost berichtet hat.
Verknüpfungswunsch: ID #11756; ID #29; ID #2; ID #12029","Herz. Otto zu Braunschw.-Lüne., Gräfin Anna zu Holst-Schaum, ID #774",,NLA BÜ ,L 1 Nr. 6890,unfoliert,
1552,Abrechnung des Steinhauers Meister Gerdes über Betrieb einer Steinkuhle auf dem Bückeberg,"Nach einer 1552 datierten (Jahres?-)Abrechnung des Steinhauers Meister Gerdes beschäftigte dieser in seiner Kuhle drei Männer zum Steinbrechen. Mit ihm zusammen betrieben also vier Männer eine Steinkuhle.
Verknüpfungswunsch: ID #11756",Steinhauer Meister Gerdes,"ID #164, S. 154",NLA BÜ ,L 1 Nr. 6868,unfoliert,
[J] 1559-10-27,Gesuch des Grafen Albrecht zu Hoya bei Graf Otto IV zu Holstein-Schaumburg um Wagen zum Steintransport,"Bitte um Wagen für den Steintransport und Hinweis, dass Steine dringend benötigt werden, Erwähnung von Diener
Verknüpfungswunsch: ID #29; ID #17"," ID #11754; Graf Albrecht zu Hoya, Diener Johansen Haken (von Albrecht z. Hoya)",,NLA BÜ ,L 1 Nr. 6895,15r-17v,
[J] 1560-05-28,Gesuch des Grafen Albrecht zu Hoya bei Graf Otto IV. zu Holstein-Schaumburg um Erlassung der Bergwar am Bückeberg,"Graf Albrecht bittet um Erlassung der Bergwar, die sein Diener sonst für die am Bückeberg gebrochenen Steine zahlen müsste. ""Nachdem E. G. underthann zum Stadthagen, Wilhelm Schrader, uns hiervor und auch legigs Jars, am Bückeberge etzlichen Stein gebrochen...""
Verknüpfungswunsch: ID #29; ID #17; ID #11756","ID #11754; Graf Albrecht zu Hoya, Wilhelm Schrader (Untertan von Otto IV., vermutlich Steinhauer)",,NLA BÜ,L a Nr. 6895,1r-2v,
undatiert,Brief/Mitteilung von Anthonius van Seron an Graf Otto IV. zu Holstein-Schaumburg bezüglich der Steinbestellungen für das Antwerpener Rathaus,"Insgesamt sollen 1400 Fuder Stein von Bückeburg nach Antwerpen gebracht werden, Bitte um baldige Antwort des Grafen.
Verknüpfungswunsch: ID #11756; ID #29; ID #10402; ID #669",ID #11751; ID #11755; ID #11754;  Kanzler zu Holstein-Schaumburg,,NLA BÜ ,L 1 Nr. 6913,9r-v,
1561-11-28,"Bestätigung einer Absprache, dass Graf Otto IV. zu Hol.-Schaum. Hz. Otto zu Braunschw.-Lüneb. Baustein für die Harburg und einen Werkmeister schicken solle","Bezugnahme auf eine mündliche Absprache in Celle. Ersuchen um Werkstücke. Graf Otto IV. Hol-Schaum. hatte ""erboten, [Hz. Otto Br.]mit einem guten Meister, der solche werkstücke zuhawen, guten verstand, [...] zu befürdern."" Hinweis darauf, dass dieser Meister nun bitte nach Harburg kommen solle, um auf des Herzogs Kosten eine Inspektion durchzuführen.
Verknüpfungswunsch: ID #29; ID #2; ID #11756","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Werkmeister aus Schaumburg",,NLA BÜ,L 1 Nr. 6893,40r-42v,
1561-12-06,Antwort Graf Ottos IV. von Hol.-Schaum. auf de Anfrage Herz. Ottos zu Braunschw.-Lüneb. bezügliche der Übersendung eines Steinhauermeisters und von Bausteins,"Graf Otto IV. hat den Meister verständigt, allerdings ist er momentan in Arbeit, genauere Absprachen sind erst ab Weihnachten möglich, genauere Absprachen zur Übersendung von Werkmeister und Stein
Verknüpfungswunsch: ID #29; ID #11757; ID #2; Harburg",ID #11754; Herzog Otto zu Braunschweig-Lüneburg,,NLA BÜ ,L 1 Nr. 6893,43r-v,
1562-02-13,Brief von Herz. Otto v. Braun-Lüneb. an Graf Otto IV. zu Hol.-Schaum. mit der Erinnerung an die Entsendung von Werkmeister und Stein,"Erinnerung an Absprache und Briefe des letzten Jahres, bitte bald möglichst einen Meister auf des Herzogs Kosten ebenso wie die gewünschten Steine zur Harburg zu senden.
Verknüpfungswunsch: ID #29; ID #11757; ID #2; Harburg","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Werkmeister",,NLA BÜ ,L 1 Nr. 6893,44r-45v,
1562-02-24,Brief von Graf Otto IV. zu Hol-Schaum. an Hrzg. Otto v. Braun-Lün. Bestätigung der Entsendung des Maurermeisters,"Maurermeister wird nach Harburg gesandt und soll dort die Arbeit besichtigen.
Verknüpfungswunsch: ID #29; ID #11757; ID #2; Harburg","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Maurermeister",,NLA BÜ ,L 1 Nr. 6893,46r-v,
