"Autor, Herausgeber oder Institution",Jahr ermittelt,Titel,Untertitel,Dokumententyp,Ort,Zeitschrift/Zeitung,Band,Nummer,Seiten von–bis,Erfasst am
"Stolberg-Wernigerode, Otto zu",1959,Neue deutsche Biographie.,4. Dittel - Falck,Buch (Sammelwerk),Berlin,,4,,,09.11.2016 13:00
"Havliza, A.; Kiesel, W.; Never, J.; Seebacher, W. ",2002,Unser ältester Hafen,Eine Chronik des Vegesacker Hafens von 1619 bis heute,Buch (Monographie),Bremen,,,,,09.11.2016 13:00
"Picton-Seymour, Desiree",1989,Historical Buildings in South Africa,,Buch (Monographie),,,,,,09.11.2016 13:00
"Lipowsky, Felix Joseph",1810,Beirisches Künstler-Lexikon,A-O,Buch (Sammelwerk),,,1,,,09.11.2016 13:00
"Carvale, Mario",2008,Dizionario Biografico degli Italiani,,Buch (Sammelwerk),Rom,,70,,,09.11.2016 13:00
"Mathieu, Ernest Anhoine Jospeh Ghislain",1905,Biographie du Hainaut,,Buch (Sammelwerk),,,,,,09.11.2016 13:00
"Balkema, C. H.",1844,"Biographie des peintres flamands et hollandais, qui ont existé depuis Jean et Hubert van Eyck jusqu'à nos jours: pour servir de guide aux peintres et aux amateurs de tableaux",,Buch (Monographie),,,,,,09.11.2016 13:00
National Archief,1971,"Inventaris van de collectie Jacob Mossel, 1699-1801",,Graue Literatur / Bericht / Report,,,,,,09.11.2016 13:00
"Schoeman, Karel",2010,Kolonie aan die Kaap,Jan van Riebeeck en die vestiging van die eerste blankes 1652-1662,Buch (Monographie),,,,,,09.11.2016 13:00
"Thom, H. B.",1958,Journal of Jan van Riebeeck,,Buch (Monographie),,,,,,09.11.2016 13:00
"Schwedt, Georg",2001,Die Rattenfängerstadt Hameln an der Weser im Spiegel des Kupferstechers Merian,Reisen in die Geschichte der Stadt,Buch (Monographie),,,,,,09.11.2016 13:00
"Lademacher, Horst",2007,Phönix aus der Asche?,,Buch (Monographie),,,,,,09.11.2016 13:00
"Thieme, Ulrich; Becker, Felix",1907-1950,Allgemeines Lexikon der bildenden Künstler von der Antike bis zur Gegenwart. ,,Buch (Sammelwerk),,,1-37,,,11.11.2016 11:00
"Blankert, Albert ",1999,Hollands classicisme in de zeventiende-eeuwse schilderkunst,,Buch (Sammelwerk),,,,,,11.11.2016 11:00
"Janse, H.; Vries, D. J. de ",1991,Werk en merk van de steenhouwer,het steenhouwersambacht in de Nederlanden voor 1800,Buch (Monographie),,,,,,11.11.2016 11:00
