Datum,Titel,Kommentar,Personen,Literatur,Literatur ID
1406,Errichtung des ersten Antwerpener Rathauses,"Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 92,992
1540,Planungsentwürfe für ein neues Rathaus in Antwerpen,"Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",Dominicus de Waghemakere,S. 92,992
1542,Abbruch der Konstruktion des neuen Antwerpener Rathauses ,"Das Baumaterial wird zur Verteidigung der Stadt benötigt.
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 92,992
1560,Rat der Stadt Antwerpen beantragt Gelder für Rathausneubau bei Margarete von Parma,"Der Antwerpener Rat bittet die Statthalterin des spanischen Königs in den Niederlanden, Margarete von Parma, um Geld für die Errichtung eines Rathausneubaus. Der Antrag wird genehmigt.
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)","Rat von Antwerpen, Margarete von Parma",S. 92,992
[J] 1561-02-27 ,Grundsteinlegung für das neue Rathaus in Antwerpen,"Beim Datum besteht die Unsicherheit, ob es sich um Brabanter Stil handelt oder nicht. Grundsteinlegung könnte also sowohl 1561 oder 1562 stattgefunden haben.
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 93,992
[J] 1565-02-27,Feierliche Eröffnung des Rathauses,"Das Antwerpener Rathaus wird eingeweiht.
Aus der Literatur geht nicht hervor, ob es sich um das Jahr 1565 nach Brabanter Stil (Jahreswechsel Ostern) oder bereits umgerechnet nach der heutigen Zeitrechnung  handelt.
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 93,992
[J] 1576-11-04,Brand des Antwerpener Rathauses,"Das Rathaus brennt im Zuge der „Spanischen Furie“ ab.
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 93,992
1578,Beginn des Wiederaufbaus des Antwerpener Rathauses,"Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 93,992
1581,Fertigstellung des Wideraufbaus des Antwerpener Rathauses,"Der Rat kehrt in das wiederaufgebaute Rathaus zurück.
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 93,992
1587,Austausch der Brabo-Statue durch Marien-Statue am Antwerpener Rathaus,"Die Statue des Brabo, die in einer Nische in der Rathausfassade steht, wird durch eine Statue der Jungfrau Maria ausgetauscht
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen (ID #10402)",,S. 93,992
