Datum,Titel,Kommentar,Personen,Literatur,Literatur ID
[J] 1613-06-07,Ratsprotokoll über Baufälligkeit der Schuhbuden auf dem Börsenplatz in Bremen,"„Die[...] Schuhbuden waren nach dem Ratsprotokoll vom 7. Juni 1613 so baufällig geworden, dass weder der Mauermeister noch der Zimmermann des Rats sich getrauten, sie zu stützen. So beschloss der Rat sie abzubrechen und auf dem Platze unten in Verbindung mit dem Ratskeller einen Weinkeller, ‚midden de Borse apen mit pileren‘ und oben Kanzlei- und Kommissionszimmer einzurichten.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Rat der Stadt Bremen (ID #753),S. 131,ID #128
[J] 1614-04-20,"Aufforderung an die Schuster, ihre Buden auf dem Bauplatz der zukünftigen Bremer Börse bis Ostern zu räumen","Aufforderung des Rates an die Schuster, die Schuhbuden bis Ostern des Jahres 1614 zu räumen. „Ferner wird Herrn Johann Herden befohlen, ‚mit dem gebuwte vorth tho varen und dut jhar de fundamente tho leggen, den Winkeller und alles so darunder verdich to maken.‘ [...] Der Bau begann aber noch nicht.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Johann Herden (Schuster Bremen, unwichtig), Rat der Stadt Bremen (ID #753)",S. 132,ID #128
[J] 1614-07-01,Ratsprotokoll bezüglich der neu zu errichtenden Bremer Börse,"Beschluss im Rat, an die Stelle der alten Schuhbuden „‘ein Hus up Pilaren wdder gesettet, under ein Winkeller, midden ein borse und baven Commission kameren oder ein Cantzelie oder wat man sunsten nochsamb bevindet aldoar tho buwen.‘ Für den Bau wurden vier Deputierte bestellt.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Rat der Stadt Bremen  (ID #753),S. 132,ID #128
[J] 1614-07-09,Beschluss über das Aussehen des Neubaus der Bremer Börse,"„Acht Tage später wird der Umfang des Gebäudes bestimmt ‚153 vote lanck, 48 vote wiet‘ und soll ‚vorerst uth der Erde herut de Keller gemaket werden‘.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Rat der Stadt Bremen  (ID #753),S. 132,ID #128
[J] 1614-10-XX,Aufforderung an die Deputierten Riss und Modell für den Bremer Börsenbau anzuschauen,"„Denn im Oktober 1614 wird vom ‚Präses proponeret, dat de Heren wolden beichtigen den afrit oder dat Munster, so de Meister geordnet, als (d. h. auf welche Art [Focke]) unse nie borse gemaket scholde werden, dat Prange de steinhouwer anhelt und tho weten begeret, offt he so vorfaren schall. Darup nichtes sunderyes geschalten.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Steinhauer Prange (ID #621), Rat der Stadt Bremen (Deputierten für den Börsenbau)  (ID #753)",S. 132f,ID #128
[J] 1614-12-XX,"Bericht der Deputierten über Beschluss, im Sommer den Keller auf dem Bremer Börsenplatz zu decken","„Im Dezember 1614 berichteten die Deputirten von neuem: ‚hebben wi, de Deputati, relation gedan . . . . . . und is enthlick geschalten per majora, dat kunfftigen Sommer de kellern vorferdiget scholen werden und aver her mit Astrik (Grausteinplatten [Focke]) belcht, so kan man inkunfftig, wen betere tide und middel sin, darup buwen, wat man will, ein borse, oder Huse, Cantzelie etc.‘.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Rat der Stadt Bremen (Deputierte für den Börsenbau)  (ID #753),S. 133,ID #128
[J] 1615,Bezahlung des Tischler Hans Hoyer für Modell der Börse zu Bremen,"„Dass auch ein Holzmodell der Börse angefertigt wurde, erweist das Rhederbuch von 1615, wonach der Tischler Hans Hoyer ‚für dat Munster, dar de nie borsse scholde na gebuwet werden‘ die hohe Summe von 15 Reichsthaler erhielt.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Hans Hoyer (Tischler?, unwichtig)",S. 133,ID #128
[J] 1616,Überlegungen bezüglich des Verkaufs des Börseplatzes in Bremen,"„Aber während des ganzen Jahres 1615 geschah nichts und zu Anfang 1616, als man überlegte, welche Staatsgrundstücke behufs Füllung der leeren Kassen wohl verkauft werden könnten, findet sich registriert: ‚den Platz, dar de Schoboden hebben gestaen, schal man – doch is in wider bedenken getragen – verkopen, darbevoren awerst afstecken wo wiet und ferne van den karkhove und der straten.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",,S. 133,ID #128
[J] 1618,Tod Johan Pranges,"Focke nimmt ihn als Entwerfer des Börsenkellers an. Auch da er in ihm den Nachfolger Lüder von Bentheims als Ratssteinhauer sieht. „Nimmt man an – was wohl wahrscheinich ist – dass der früher von ihm vorgelegte Abriss der Börse auch das Kellergeschoss mitumfasst hat, so wird man bis auf weiteres auch folgern können, dass der Keller nach diesem Prangeschen Risse verfertigt worden ist.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Johan Prange (Steinhauer) (ID #621),S. 134,ID #128
[J] 1619,Ratsprotokoll über den Zustand des Börsenplatzes in Bremen,"Erwähnung des Bauplatzes im Ratsprotokoll. Bis zu diesem Zeitpunkt keine Bautätigkeiten. „‘[D]arnegest ist geredet von den Platz für den Rathause, dar de Schoboden gestaen. das der is, so nit beligen muss pleiben, zum grossen Schimpff des Rhades und gemeiner Stadt, wie man es damit soll anfangen? Da den per majora ist geschlossen, man soll denselbigen ausbauwen auf des Rhades kosten und darnach die Keller sowol als die Häuser zum hogesten verheuren. Ich bin‘ – sagt der Protokollführer Ratsherr Hermann Müller – ‚contrari gewesen und Konsul Herde: man solle es andern leuten selbst lassen bauwen und ein gewisses und ansehnliches Stedegeld jährlich daraus nehmen.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Rat Hermann Müller, Konsul Herde, Rat der Stadt Bremen  (ID #753)",S. 133f,ID #128
