Jahr,Titel,Kommentar,Personen,Literatur,Literatur ID
11. Jahrhundert,Nutzung des Obernkirchener Sandsteins für Mindener Dom,"Bereits im 11. Jahrhundert wurde Obern-kirchener Stein am Mindener Dom verwendet...
Verknüpfungswunsch: ID #1297; ID #11756; ID #745",,S. 16; S. 127,ID #303; ID #11860
1485,Erste Erwähnung Steinabbau bei Obernkirchen,"""Die Grafen Erich und Anton von Holstein-Schaumburg gestatteten damals dem Kloster Möllenbeck bei Rinteln den Abbau von Steinen auf dem Bückeberge…"" für die Errichtung von Klostergebäuden.
Verknüpfungswunsch: ID #11756; ID #745; ID #29","Graf Erich zu Holstein-Schaumburg, Graf Anton zu Holstein-Schaumburg",S. 153; S. 19;  S. 96,ID #164; ID #231; ID #303
1544,Steinlieferungen von Bückeberger Sandstein für den Schlossbau zu Petershagen,"mit Angaben zu Bergwar?, u. a. Angaben zu Steinlängen (6-8 Fuß)
Verknüpfungswunsch: ID #12029; ID #11756; Petershagen",, S. 155.,ID #164
1545,Weitere Steinlieferungen von Bückeberger Sandstein für den Schlossbau zu Petershagen,"mit Angaben zu Bergwar?, u. a. Angaben zu Steinlängen (6-8 Fuß), Löhne etc.
Verknüpfungswunsch: ID #12029; ID #11756; Petershagen",, S. 170.,ID #164
1546,Zusätzliche Steinlieferungen von Bückeberger Sandstein für den Schlossbau zu Petershagen,"mit Angaben zu Bergwar?
Verknüpfungswunsch: ID #12029; ID 11756; Petershagen",,S. 155.,ID #164
1558,Einnahme Bergwar für den Bückeberger Sandstein ,Verknüpfungswunsch: ID #11756,,"S. 155, NLA BÜ L 1 Nr. 6869",ID #164
1562,Verleihung von Fuhrwerken für den Steintransport an die Weser durch Graf Otto IV. von Holstein-Schaumburg an Herzog Adolf von Schleswig-Holstein,Verknüpfungswunsch: ID #11756; ID #29,ID #11754; Herzog Adolf von Schleswig-Holstein,S. 162 ,ID #164
1564,Bitte Graf Erichs von Hoya nach einer Schifful Stein,Verknüpfungswunsch: ID #11756; ID #29; ID #17,,"S. 158, NLA BÜ L 1 Nr. 6896",ID #164
1565,Steinbruchregister,"Fragment
Verknüpfungswunsch: ID #11756; ID #29",,"S. 155, NLA BÜ L 1 Nr. 6870",ID #164
1567/1568,Bergwar-Register,"Erwähnung eines ""Bergvoges"" zur Erhebung der Bergwar
Verknüpfungswunsch: ID #29; ID #11756",,"S. 155, NLA BÜ L 1 Nr. 6871",ID #164
