ID,Hierarchy,Object,Name,Longname,ShortName,Link,Length,Height,Depth
ID161213152328_50,1,BAT1001,BAT1001,BAT1001_PoGr,BAT1001_PoGr,PoGr,"1,10","0,53","0,65"
ID161213152328_81,1,BAT1003,BAT1003,BAT1003_PoGr,BAT1003_PoGr,PoGr,"0,51","0,51","0,61"
ID161213152328_79,1,BAT1004,BAT1004,BAT1004_PoGr,BAT1004_PoGr,PoGr,"0,50","0,48","0,61"
ID161213152328_54,1,BAT1006,BAT1006,BAT1006_PoGr,BAT1006_PoGr,PoGr,"1,41","0,26","0,55"
ID161213152328_48,1,BAT1007,BAT1007,BAT1007_PoGr,BAT1007_PoGr,PoGr,"0,92","0,32","0,42"
ID161213152328_85,1,BAT1008,BAT1008,BAT1008_PoGr,BAT1008_PoGr,PoGr,"0,49","0,45","0,62"
ID161213152328_83,1,BAT1010,BAT1010,BAT1010_PoGr,BAT1010_PoGr,PoGr,"0,51","0,48","0,60"
ID161213152328_53,1,BAT1013,BAT1013,BAT1013_PoGr,BAT1013_PoGr,PoGr,"0,85","0,48","0,81"
ID161213152328_62,1,BAT1015,BAT1015,BAT1015_PoGr,BAT1015_PoGr,PoGr,"1,83","0,33","0,39"
ID161213152328_86,1,BAT1018,BAT1018,BAT1018_PoGr,BAT1018_PoGr,PoGr,"0,50","0,49","0,61"
ID161213152328_64,1,BAT1020,BAT1020,BAT1020_PoGr,BAT1020_PoGr,PoGr,"0,54","0,46","0,35"
ID161213152328_67,1,bat1030,bat1030,bat1030_PoGr,bat1030_PoGr,PoGr,"0,61","0,53","0,62"
ID161213152328_60,1,bat1031,bat1031,bat1031_PoGr,bat1031_PoGr,PoGr,"0,62","0,47","0,38"
ID161213152328_57,1,bat1032,bat1032,bat1032_PoGr,bat1032_PoGr,PoGr,"0,65","0,24","1,15"
ID161213152328_51,1,BAT1037,BAT1037,BAT1037_PoGr,BAT1037_PoGr,PoGr,"0,60","0,60","0,60"
ID161213152328_58,1,BAT1038,BAT1038,BAT1038_PoGr,BAT1038_PoGr,PoGr,"1,04","0,28","0,51"
ID161213152328_52,1,BAT1039,BAT1039,BAT1039_PoGr,BAT1039_PoGr,PoGr,"0,57","0,59","0,64"
ID161213152328_55,1,BAT1040,BAT1040,BAT1040_PoGr,BAT1040_PoGr,PoGr,"0,82","0,48","0,57"
ID161213152328_63,1,BAT1041,BAT1041,BAT1041_PoGr,BAT1041_PoGr,PoGr,"0,71","0,24","1,14"
ID161213152328_61,1,BAT1042_alternativ,BAT1042_alternativ,BAT1042_alternativ_PoGr,BAT1042_alternativ_PoGr,PoGr,"1,30","0,11","0,45"
ID161213152328_59,1,BAT1043,BAT1043,BAT1043_PoGr,BAT1043_PoGr,PoGr,"0,31","0,41","0,38"
ID161213152328_75,1,BAT1044,BAT1044,BAT1044_PoGr,BAT1044_PoGr,PoGr,"0,45","0,24","1,22"
ID161213152328_4,1,BAT1045,BAT1045,BAT1045_PoGr,BAT1045_PoGr,PoGr,"0,73","0,60","0,64"
ID161213152328_5,1,BAT1049_Neu,BAT1049_Neu,BAT1049_Neu_PoGr,BAT1049_Neu_PoGr,PoGr,"0,69","0,32","0,45"
ID161213152328_71,1,BAT1050,BAT1050,BAT1050_PoGr,BAT1050_PoGr,PoGr,"0,63","0,59","0,65"
ID161213152328_69,1,BAT1052,BAT1052,BAT1052_PoGr,BAT1052_PoGr,PoGr,"0,61","0,59","0,39"
ID161213152328_39,1,BAT1053,BAT1053,BAT1053_PoGr,BAT1053_PoGr,PoGr,"0,56","0,45","0,38"
ID161213152328_72,1,BAT1054,BAT1054,BAT1054_PoGr,BAT1054_PoGr,PoGr,"0,60","0,25","1,22"
ID161213152328_76,1,BAT1056,BAT1056,BAT1056_PoGr,BAT1056_PoGr,PoGr,"1,19","0,28","0,52"
ID161213152328_73,1,BAT1057,BAT1057,BAT1057_PoGr,BAT1057_PoGr,PoGr,"0,61","0,60","0,36"
ID161213152328_3,1,BAT1058,BAT1058,BAT1058_PoGr,BAT1058_PoGr,PoGr,"0,26","0,41","0,39"
ID161213152328_74,1,BAT1061,BAT1061,BAT1061_PoGr,BAT1061_PoGr,PoGr,"0,28","0,48","0,33"
