Name,andere Schreibweisen,Lebensspanne,Anmerkungen,Quelle,Literatur,Seite in Literatur
"Aschen, Henrich von",H. H. v., ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Backman, Hans",Bockman; Beckman, ,B[o/a?]ckman; Steinhauergeselle,#11777; #11778; #11782; ,,
"Bielefelt, Albert",Bielfelt, ,Steinhauermeister,#11784; ,,
"Bielefelt, Ernst",Bielfelt; Biehlefeltt, ,Steinhauergeselle,#11777; #11778; #11781; #11782; ,,
"Bielefelt, Jacob",Bielfelt, ,Steinhauermeister,#11784; ,,
"Brockkamp, Albert",Brockam, ,Meister,#11796,,
"Broëbes, Jean Baptiste",Broebes; Probes; Proves; Provées; Brobes,,"""Baumeister"", Ratsbaumeister und Architekt",#11840; #11841; #11842; #11843; #11844; #11846; #11848; #11849; #11788; #11850; ,#128; #334; #11817, 
"Broëbes, Jean Baptiste (Junior)",Broebes; Probes; Proves; Provées; Brobes,1689-09 - ,,#11846; ,#128,
"Bruggeman, Hermann",Herman,- 1717-09-23,Baumeister und Architekt; Baute Bremer Börse und anschließend ein Armenhaus,#11852; #11853; #11854; ,#128; #11815; #334, 
"Coch, C.", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Cöper, H. O.", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung'; evtl. Otto mit Vornamen; evtl. auch Köper mit Nachnamen,#11773,,
"Dierks, Jan", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Kappeln, Ditericus von", , ,Weinherr; Bürgermeister,#11840,#11815,
"Dysing, Dethard",Dising; Dr., ,,#11805; #11808; ,,
"Falske, Meister Simon", , ,Meister,#11795; ,,
"Ficken, Herman", , ,Zimmermeister,#11806,,
"Fopma, Jochen",Fobma, ,Steinhändler,#11783; #11787; #11794; ,,
"Gercken, Waltijte",Geerken, ,Steinhauergeselle,#11856; #11777; #11809; #11813; ,,
"Hagens, Herman", , ,Fuhrmann,#11785; #11797; ,,
"Hake, Müller B.", , ,,#11775; #11776;,,
"Hamm, Meister Wilcken van",Ham; Wileken; von, ,Meister,#11786,,
"Herde, ???", , ,Konsul (1619),#11828,#128,
"Herden, Johann", , ,,#11820,#128,
"Holle, Hermann",H. F. Holle, ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung'; Kaufmann,#11773,,
"Hollman, Otto", , ,Sollingstein-Lieferant,#11792,,
"Hoyer, Hans", , ,hat vermutlich 1615 als Tischler ein Holzmodell der Börse angefertigt,#11825,#128,
"Knust, Johann", , ,Maurermeister,#11838,#11815,
"Kampen, Henrich van", , ,Bremer Fuhrmann,#11784,,
"Koen, Werner", , ,Kaufmann,#11837,#128,
"Köhne, Warner", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Kohnen, ???",Köne, ,Bürgermeister,#11805; #11808; ,,
"Köper, Dethard", , ,Senator,#11840,#11815,
"Lösekanne, Burch", , ,"gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung'; Eltermann (1644, 1649, 1653)",#11773,,
"Lürsen, Dirich",Lürßen, ,Steinhauergeselle,#11777; #11778; #11782; ,,
"Lürsen, Tentije",Lürßen; Tytje, ,Steinhauergeselle,#11777; #11782; ,,
"Mael, Henrich", , ,Steinhauergeselle,#11777,,
"Motte, J. H.", , ,Vorname evtl. Johann; gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Müller, Hermann", , ,Ratsherr (1619),#11828,#128,
"Potter, Jsaac de", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung'; Kaufmann,#11773,,
"Prange, ???", , ,Steinhauer,#11823,#128,
"Regenstorf, Henrich", , ,"gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung'; Eltermann (1644, 1646, 1649)",#11773,,
"Remenschneider, H.", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Roers, Gerd", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Schlick, Jost", , ,Meister,#11783,,
"Schöne, Meimar",Meimer, ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Surbick, Henrich", , ,"gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung', Kaufmann (1644); Eltermann (1649, 1653, 1656, 1668)",#11773,,
"Toppe, Conrad", , ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung',#11773,,
"Uthhoff, Otto",Uhthoff, ,gehörte 1644 zur 'Deputation zur Erarbeitung eines Finanzplans und der Börsenordnung'; Kaufmann,#11773,,
"Vaged, Johan",Vagt, ,Maurermeister,#11802; #11806; ,,
"Warnek, Giselbert von", , ,Ingenieur-Kapitän; Leiter der Aufstockung der Bremer Börse,#11856; ,#128,
"Wienckes, Dierich", , ,Dachdeckermeister; will bis 1763 das neue Schieferdach der Bremer Börse decken,#11810,,
"Wienges, Henrich", , ,kaufte altes Kupferdach und bestätigt Anlieferung neuer Platten der Bremer Börse,#11811,,
