Stone;Length;Height;Depth
S_1;0,773;0,305;0,538
S_2;0,596;0,305;0,513
S_3;0,218;0,305;0,540
S_4;0,431;0,305;0,269
S_5;0,246;0,305;0,265
S_6;0,155;0,305;0,489
S_7;0,831;0,305;0,511
S_8;0,218;0,305;0,513
S_9;0,431;0,305;0,513
S_10;0,249;0,305;0,513
S_11;0,122;0,200;0,463
S_12;0,082;0,200;0,533
S_13;0,138;0,306;0,463
S_14;1,219;0,200;0,533
S_15;0,225;0,200;0,533
S_16;1,084;0,200;0,559
S_17;0,097;0,200;0,559
S_18;1,322;0,200;0,559
S_19;0,117;0,200;0,489
S_20;2,082;1,008;0,569
S_21;2,139;1,172;0,348
S_22;2,967;0,107;0,404
S_23;1,551;0,154;0,521
S_24;1,737;0,154;0,801
S_25;0,926;0,272;0,297
S_26;1,987;0,272;0,522
S_27;0,393;0,272;0,497
S_28;0,189;0,568;0,501
S_29;0,189;0,568;0,501
S_30;0,558;0,151;0,591
S_31;1,266;0,341;0,501
S_32;1,322;0,240;0,621
S_33;0,597;0,240;0,677
S_34;0,569;0,240;0,677
S_35;1,429;0,240;0,505
S_36;0,792;0,240;0,698
S_37;1,448;0,462;0,578
S_38;1,034;0,462;0,591
S_39;1,556;0,462;0,455
S_40;0,659;0,462;0,623
S_41;1,323;0,278;0,612
S_42;1,167;0,278;0,643
S_43;1,430;0,278;0,491
S_44;0,781;0,278;0,657
S_45;1,396;0,839;0,489
S_46;1,259;0,831;0,499
S_47;1,058;0,354;0,589
S_48;0,370;0,308;0,517
S_49;0,404;0,174;0,410
S_50;0,353;0,175;0,610
S_51;0,304;0,193;0,546
S_52;0,363;0,193;0,485
S_53;0,370;0,490;0,175
S_54;0,395;0,174;0,410
S_55;0,370;0,175;0,610
S_56;0,363;0,175;0,499
S_57;0,299;0,174;0,258
S_58;0,370;0,176;0,517
S_59;0,363;0,490;0,344
S_60;0,304;0,193;0,546
S_61;0,119;0,292;0,511
S_62;1,413;0,292;0,530
S_63;0,119;0,174;0,511
S_64;1,394;0,174;0,514
S_65;1,021;0,297;0,470
S_66;0,437;0,151;0,591
S_67;0,536;0,151;0,591
S_68;0,303;0,357;0,569
S_69;0,293;0,357;0,569
S_70;0,374;0,357;0,465
S_71;0,342;0,367;0,346
S_72;0,370;0,367;0,346
S_73;0,353;0,367;0,205
S_74;0,151;0,468;0,478
S_75;0,164;0,436;0,478
S_76;1,431;0,090;0,560
S_77;0,950;0,354;0,462
S_78;0,528;0,354;0,462
S_79;0,154;0,360;0,463
S_80;0,623;0,360;0,622
S_81;0,159;0,360;0,469
S_82;0,154;0,147;0,469
S_83;0,623;0,147;0,623
S_84;0,159;0,147;0,469
S_85;0,723;0,615;0,537
S_86;1,198;0,193;0,485
S_87;0,907;0,355;0,462
S_88;0,106;0,074;0,462
S_89;0,232;0,175;0,501
S_90;0,210;0,367;0,481
S_91;0,227;0,293;0,481
S_92;0,227;0,190;0,481
S_93;1,444;0,186;0,488
S_94;0,178;0,462;0,469
S_95;0,175;0,278;0,506
S_96;0,166;0,240;0,526
S_97;0,189;0,568;0,501
S_98;1,134;0,173;0,537
S_99;1,244;0,934;0,499
S_100;0,723;0,135;0,482
S_101;1,002;0,155;0,358
S_102;1,082;0,174;0,259
S_103;1,082;0,367;0,259
S_104;0,239;0,175;0,481
S_105;1,002;0,155;0,167
S_106;0,688;0,186;0,169
S_107;0,705;0,186;0,169
S_108;0,684;0,490;0,481
S_109;0,171;0,490;0,481
S_110;0,171;0,490;0,481
S_111;0,287;0,173;0,474
S_112;0,704;0,162;0,489
S_113;0,597;0,240;0,677
S_114;0,569;0,240;0,677
S_115;1,046;0,462;0,591
S_116;1,160;0,278;0,643
S_117;1,258;0,140;0,627
S_118;0,359;0,403;0,622
S_119;0,382;0,167;0,622
S_120;0,309;0,350;0,586
S_121;0,304;0,192;0,546
S_122;1,072;0,348;0,589
S_123;0,306;0,192;0,468
S_124;0,350;0,403;0,622
S_125;0,378;0,167;0,622
S_126;0,276;0,350;0,586
S_127;0,317;0,350;0,482
S_128;0,299;0,362;0,482
S_129;0,299;0,362;0,488
S_130;0,359;0,072;0,622
S_131;0,350;0,072;0,622
S_132;0,265;0,482;0,482
S_133;0,304;0,192;0,541
S_134;0,337;0,362;0,622
S_135;0,335;0,362;0,622
S_136;0,251;0,167;0,482
S_137;0,251;0,167;0,488
S_138;0,370;0,177;0,586
S_139;0,370;0,177;0,586
S_140;0,254;0,177;0,482
S_141;0,277;0,177;0,569
S_142;0,277;0,346;0,569
S_143;0,277;0,188;0,569
S_144;0,277;0,347;0,569
