Stein-Titel,Charge/ Position,Anmerkung,Anzahl,Sandsteinelement,Einheit,Dimension 1,Dimension 2,Dimension 3,Zielobjekt,Transaktion
O1_1653-02-15,C1,"""pilasters""",260,Blockstein,AmstE-F-D,0-5-0,0-1-5,0-2-5,"Amsterdam, Rathaus",
O2_1653-02-15,C2,"""pilasters""",30,Blockstein,AmstE-F-D,0-3-5,0-2-5,0-2-5,"Amsterdam, Rathaus",
O3_1653-02-15,C3,"""pilasters""",30,Blockstein,AmstE-F-D,0-5-5,"0-1-7,5",0-1-5,"Amsterdam, Rathaus",
O4_1653-02-15,C4,"""pilasters""",60,Blockstein,AmstE-F-D,"0-3-2,5","0-1-7,5",0-2-5,"Amsterdam, Rathaus",
O5_1653-02-15,C5,"""quarten""",260,Blockstein,AmstE-F-D,0-2-0,0-1-5,0-2-5,"Amsterdam, Rathaus",
O6_1653-02-15,C6,"""quarten""",24,Blockstein,AmstE-F-D,0-4-0,"0-1-7,5",0-2-5,"Amsterdam, Rathaus",
O7_1653-02-15,C7,"""quarten""",12,Blockstein,AmstE-F-D,0-4-0,0-2-5,0-2-5,"Amsterdam, Rathaus",
O8_1653-02-15,C8,"""hoecken""",40,Blockstein,AmstE-F-D,"0-5-7,5",0-1-5,0-2-5,"Amsterdam, Rathaus",
O9_1653-02-15,C9,"""hoecken""",9,Blockstein,AmstE-F-D,0-6-0,"0-1-7,5",0-2-5,"Amsterdam, Rathaus",
O10_1653-02-15,C10,"""hoecken""",10,Blockstein,AmstE-F-D,0-6-0,"0-1-7,5",0-2-5,"Amsterdam, Rathaus",
O11_1653-02-15,C11,"""hoecken""",4,Blockstein,AmstE-F-D,0-6-0,0-1-5,0-2-5,"Amsterdam, Rathaus",
O12_1653-02-15,C12,"""hoecken""",23,Blockstein,AmstE-F-D,0-8-0,0-2-0,0-1-5,"Amsterdam, Rathaus",
O13_1653-02-15,C13,"""drumpels""",50,Blockstein,AmstE-F-D,"0-9-2,5","0-1-7,5",0-1-5,"Amsterdam, Rathaus",
O14_1653-02-15,C14,"""drumpels""",30,Blockstein,AmstE-F-D,"0-4-2,5","0-1-7,5",0-2-5,"Amsterdam, Rathaus",
O15_1653-02-15,C15,"""fustons""",30,Blockstein,AmstE-F-D,"0-7-2,5",0-2-5,0-2-0,"Amsterdam, Rathaus",
O16_1653-02-15,C16,"""Capeteels""",40,Blockstein,AmstE-F-D,"0-5-2,5",0-2-5,0-2-5,"Amsterdam, Rathaus",
O17_1653-02-15,C17,"""plint""",23,Blockstein,AmstE-F-D,0-8-0,0-2-0,"0-1-2,5","Amsterdam, Rathaus",
O18_1653-02-15,C18,"""plint""",24,Blockstein,AmstE-F-D,0-4-5,0-2-0,0-2-0,"Amsterdam, Rathaus",
O19_1653-02-15,C19,"""trapen""",100,Blockstein,AmstE-F-D,0-7-0,"0-0-7,5",0-1-5,"Amsterdam, Rathaus",
O20_1653-02-15,C20,"""architraf""",132,Blockstein,AmstE-F-D,0-12-0,"0-1-2,5",0-2-0,"Amsterdam, Rathaus",
O21_1653-02-15,C21,"""architraf""",28,Blockstein,AmstE-F-D,"0-12-2,5","0-1-2,5",0-2-0,"Amsterdam, Rathaus",
O22_1653-02-15,C22,"""hoecken""",12,Blockstein,AmstE-F-D,"0-3-7,5",0-1-5,"0-3-7,5","Amsterdam, Rathaus",
O23_1653-02-15,C23,"""bordehsen[?]""",80,Blockstein,AmstE-F-D,"0-8-2,5",,0-5-0,"Amsterdam, Rathaus",
O1_1653-10-02,C1,,24,Blockstein,AmstE-F-D,0-7-0,"0-1-7,5",0-2-0,"Amsterdam, Rathaus",
O2_1653-10-02,C2,,18,Blockstein,AmstE-F-D,0-12-0,"0-1-2,5",0-2-0,"Amsterdam, Rathaus",
O3_1653-10-02,C3,,8,Blockstein,AmstE-F-D,"0-5-2,5",0-2-5,0-3-0,"Amsterdam, Rathaus",
O4_1653-10-02,C4,,8,Blockstein,AmstE-F-D,"0-5-2,5",0-1-5,0-3-0,"Amsterdam, Rathaus",
O5_1653-10-02,C5,,12,Blockstein,AmstE-F-D,0-11-0,"0-1-2,5",0-1-0,"Amsterdam, Rathaus",
O6_1653-10-02,C6,,12,Blockstein,AmstE-F-D,0-11-0,"0-0-7,5","0-0-7,5","Amsterdam, Rathaus",
O7_1653-10-02,C7,,12,Blockstein,AmstE-F-D,0-11-0,"0-0-7,5","0-0-7,5","Amsterdam, Rathaus",
O8_1653-10-02,C8,,12,Blockstein,AmstE-F-D,0-11-0,"0-0-7,5",0-1-5,"Amsterdam, Rathaus",
O9_1653-10-02,C9,,50,Blockstein,AmstE-F-D,0-5-0,0-1-5,0-2-5,"Amsterdam, Rathaus",
O1_1654-03-14,C1,,256,Blockstein,AmstE-F-D,0-5-0,0-1-5,0-2-5,"Amsterdam, Rathaus",
O1_1654-03-14,C34,,200,Blockstein,AmstE-F-D,0-5-5,0-1-5,0-2-0,"Amsterdam, Rathaus",
W1_1651-05-11,P1,,46,Blockstein,AmstE-F-D,"0-3-3,3333",0-3-5,0-2-5,"Amsterdam, Rathaus",
W2_1651-05-11,P2,,156,Blockstein,AmstE-F-D,0-2-0,0-3-0,0-2-5,"Amsterdam, Rathaus",
W3_1651-05-11,P3,,12,Blockstein,AmstE-F-D,"0-8-7,5","0-1-7,5",0-1-5,"Amsterdam, Rathaus",
W4_1651-05-11,P4,,70,Blockstein,AmstE-F-D,"0-9-2,5","0-1-7,5",0-1-5,"Amsterdam, Rathaus",
W5_1651-05-11,P5,,48,Blockstein,AmstE-F-D,"0-9-7,5","0-1-7,5",0-1-5,"Amsterdam, Rathaus",
W6_1651-05-11,P6,,6,Blockstein,AmstE-F-D,"0-3-7,5",0-3-0,0-2-5,"Amsterdam, Rathaus",
W7_1651-05-11,P7,,12,Blockstein,AmstE-F-D,0-2-5,0-3-0,0-2-5,"Amsterdam, Rathaus",
W8_1651-05-11,P8,,6,Blockstein,AmstE-F-D,"0-4-2,5",0-3-0,0-2-5,"Amsterdam, Rathaus",
W9_1651-05-11,P9,,2,Blockstein,AmstE-F-D,"0-3-7,5",0-3-5,"0-2-2,5","Amsterdam, Rathaus",
W10_1651-05-11,P10,,8,Blockstein,AmstE-F-D,"0-10-2,5","0-1-7,5",0-1-5,"Amsterdam, Rathaus",
W11_1651-05-11,P11,,4,Blockstein,AmstE-F-D,"0-8-7,5",0-1-5,0-1-5,"Amsterdam, Rathaus",
W12_1651-05-11,P12,,60,Blockstein,AmstE-F-D,"0-2-2,5",0-3-0,"0-2-2,5","Amsterdam, Rathaus",
