Object,Name,Longname,ShortName,Link,Length,Height,Depth,Row,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,Cornice,Pilaster,Festoon,Door
MRis01,Mittelrisalitrisalit01,Mittelrisalitrisalit01_OFas_RhAMS,MRis01_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
MiGes,Mittelrisalitgesims,Mittelrisalitgesims_SRis02_OFas_RhAMS,MiGes_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
MiGes,Mittelrisalitgesims,Mittelrisalitgesims_MRis01_OFas_RhAMS,MiGes_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
MiGes,Mittelrisalitgesims,Mittelrisalitgesims_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
MiGes01,Mittelrisalitgesims01,Mittelrisalitgesims01_OFas_RhAMS,MiGes01_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
MiGes02,Mittelrisalitgesims02,Mittelrisalitgesims02_OFas_RhAMS,MiGes02_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
OFas,Ostfassade,Ostfassade_RhAMS,OFas_RhAMS,RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil01,Pilaster01,Pilaster01_OFas_RhAMS,Pil01_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil01,Pilaster01,Pilaster01_SRis02_OFas_RhAMS,Pil01_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil01,Pilaster01,Pilaster01_MRis01_OFas_RhAMS,Pil01_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil01,Pilaster01,Pilaster01_SRis01_OFas_RhAMS,Pil01_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil02,Pilaster02,Pilaster02_OFas_RhAMS,Pil02_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil02,Pilaster02,Pilaster02_SRis02_OFas_RhAMS,Pil02_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil02,Pilaster02,Pilaster02_MRis01_OFas_RhAMS,Pil02_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil02,Pilaster02,Pilaster02_SRis01_OFas_RhAMS,Pil02_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil03,Pilaster03,Pilaster03_OFas_RhAMS,Pil03_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil03,Pilaster03,Pilaster03_SRis02_OFas_RhAMS,Pil03_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil03,Pilaster03,Pilaster03_MRis01_OFas_RhAMS,Pil03_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil03,Pilaster03,Pilaster03_SRis01_OFas_RhAMS,Pil03_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil04,Pilaster04,Pilaster04_OFas_RhAMS,Pil04_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil04,Pilaster04,Pilaster04_SRis02_OFas_RhAMS,Pil04_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil04,Pilaster04,Pilaster04_MRis01_OFas_RhAMS,Pil04_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil04,Pilaster04,Pilaster04_SRis01_OFas_RhAMS,Pil04_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil05,Pilaster05,Pilaster05_OFas_RhAMS,Pil05_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil05,Pilaster05,Pilaster05_SRis02_OFas_RhAMS,Pil05_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil05,Pilaster05,Pilaster05_MRis01_OFas_RhAMS,Pil05_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil05,Pilaster05,Pilaster05_SRis01_OFas_RhAMS,Pil05_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil06,Pilaster06,Pilaster06_OFas_RhAMS,Pil06_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil06,Pilaster06,Pilaster06_SRis02_OFas_RhAMS,Pil06_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil06,Pilaster06,Pilaster06_MRis01_OFas_RhAMS,Pil06_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil06,Pilaster06,Pilaster06_SRis01_OFas_RhAMS,Pil06_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil07,Pilaster07,Pilaster07_OFas_RhAMS,Pil07_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil07,Pilaster07,Pilaster07_SRis02_OFas_RhAMS,Pil07_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil07,Pilaster07,Pilaster07_MRis01_OFas_RhAMS,Pil07_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil07,Pilaster07,Pilaster07_SRis01_OFas_RhAMS,Pil07_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil08,Pilaster08,Pilaster08_OFas_RhAMS,Pil08_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil08,Pilaster08,Pilaster08_SRis02_OFas_RhAMS,Pil08_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil08,Pilaster08,Pilaster08_MRis01_OFas_RhAMS,Pil08_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil08,Pilaster08,Pilaster08_SRis01_OFas_RhAMS,Pil08_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil09,Pilaster09,Pilaster09_OFas_RhAMS,Pil09_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil09,Pilaster09,Pilaster09_MRis01_OFas_RhAMS,Pil09_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil10,Pilaster10,Pilaster10_OFas_RhAMS,Pil10_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil10,Pilaster10,Pilaster10_MRis01_OFas_RhAMS,Pil10_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil11,Pilaster11,Pilaster11_OFas_RhAMS,Pil11_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil11,Pilaster11,Pilaster11_MRis01_OFas_RhAMS,Pil11_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil12,Pilaster12,Pilaster12_OFas_RhAMS,Pil12_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil12,Pilaster12,Pilaster12_MRis01_OFas_RhAMS,Pil12_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil13,Pilaster13,Pilaster13_OFas_RhAMS,Pil13_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil13,Pilaster13,Pilaster13_MRis01_OFas_RhAMS,Pil13_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil14,Pilaster14,Pilaster14_OFas_RhAMS,Pil14_OFas_RhAMS,OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
Pil14,Pilaster14,Pilaster14_MRis01_OFas_RhAMS,Pil14_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0
