ID,Hierarchy,Object,Name,Longname,ShortName,Link,Length,Height,Depth,Row,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,Cornice,Pilaster,Festoon,Door
ID1608011301_1,3,MRis,Mittelrisalit,Mittelrisalit_OFas_RhAMS,MRis01_OFas_RhAMS,OFas_RhAMS,"25,94","24,14","1,74",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_2,2,MiGes,Mittelgesims,Mittelgesims_SRis02_OFas_RhAMS,MiGes_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"12,44","1,70","1,03",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_3,2,MiGes,Mittelgesims,Mittelgesims_MRis01_OFas_RhAMS,MiGes_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"25,44","1,70","1,02",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_4,2,MiGes,Mittelgesims,Mittelgesims_SRis01_OFas_RhAMS,MiGes_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"12,44","1,70","1,03",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_5,2,MiGes01,Mittelgesims01,Mittelgesims01_OFas_RhAMS,MiGes01_OFas_RhAMS,OFas_RhAMS,"15,64","1,05","0,45",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_6,2,MiGes02,Mittelgesims02,Mittelgesims02_OFas_RhAMS,MiGes02_OFas_RhAMS,OFas_RhAMS,"15,64","1,05","0,45",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_7,4,OFas,Ostfassade,Ostfassade_RhAMS,OFas_RhAMS,RhAMS,"81,52","25,55","6,79",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_8,2,Pil01,Pilaster01,Pilaster01_OFas_RhAMS,Pil01_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_9,2,Pil01,Pilaster01,Pilaster01_SRis02_OFas_RhAMS,Pil01_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_10,2,Pil01,Pilaster01,Pilaster01_MRis01_OFas_RhAMS,Pil01_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_11,2,Pil01,Pilaster01,Pilaster01_SRis01_OFas_RhAMS,Pil01_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,23","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_12,2,Pil02,Pilaster02,Pilaster02_OFas_RhAMS,Pil02_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_13,2,Pil02,Pilaster02,Pilaster02_SRis02_OFas_RhAMS,Pil02_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_14,2,Pil02,Pilaster02,Pilaster02_MRis01_OFas_RhAMS,Pil02_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_15,2,Pil02,Pilaster02,Pilaster02_SRis01_OFas_RhAMS,Pil02_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_16,2,Pil03,Pilaster03,Pilaster03_OFas_RhAMS,Pil03_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_17,2,Pil03,Pilaster03,Pilaster03_SRis02_OFas_RhAMS,Pil03_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_18,2,Pil03,Pilaster03,Pilaster03_MRis01_OFas_RhAMS,Pil03_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_19,2,Pil03,Pilaster03,Pilaster03_SRis01_OFas_RhAMS,Pil03_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_20,2,Pil04,Pilaster04,Pilaster04_OFas_RhAMS,Pil04_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_21,2,Pil04,Pilaster04,Pilaster04_SRis02_OFas_RhAMS,Pil04_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,23","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_22,2,Pil04,Pilaster04,Pilaster04_MRis01_OFas_RhAMS,Pil04_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_23,2,Pil04,Pilaster04,Pilaster04_SRis01_OFas_RhAMS,Pil04_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_24,2,Pil05,Pilaster05,Pilaster05_OFas_RhAMS,Pil05_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_25,2,Pil05,Pilaster05,Pilaster05_SRis02_OFas_RhAMS,Pil05_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_26,2,Pil05,Pilaster05,Pilaster05_MRis01_OFas_RhAMS,Pil05_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_27,2,Pil05,Pilaster05,Pilaster05_SRis01_OFas_RhAMS,Pil05_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,23","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_28,2,Pil06,Pilaster06,Pilaster06_OFas_RhAMS,Pil06_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_29,2,Pil06,Pilaster06,Pilaster06_SRis02_OFas_RhAMS,Pil06_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_30,2,Pil06,Pilaster06,Pilaster06_MRis01_OFas_RhAMS,Pil06_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_31,2,Pil06,Pilaster06,Pilaster06_SRis01_OFas_RhAMS,Pil06_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,18","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_32,2,Pil07,Pilaster07,Pilaster07_OFas_RhAMS,Pil07_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_33,2,Pil07,Pilaster07,Pilaster07_SRis02_OFas_RhAMS,Pil07_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,18","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_34,2,Pil07,Pilaster07,Pilaster07_MRis01_OFas_RhAMS,Pil07_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_35,2,Pil07,Pilaster07,Pilaster07_SRis01_OFas_RhAMS,Pil07_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_36,2,Pil08,Pilaster08,Pilaster08_OFas_RhAMS,Pil08_OFas_RhAMS,OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_37,2,Pil08,Pilaster08,Pilaster08_SRis02_OFas_RhAMS,Pil08_SRis02_OFas_RhAMS,SRis02_OFas_RhAMS,"1,23","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_38,2,Pil08,Pilaster08,Pilaster08_MRis01_OFas_RhAMS,Pil08_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,28","8,68","0,40",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_39,2,Pil08,Pilaster08,Pilaster08_SRis01_OFas_RhAMS,Pil08_SRis01_OFas_RhAMS,SRis01_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_40,2,Pil09,Pilaster09,Pilaster09_OFas_RhAMS,Pil09_OFas_RhAMS,OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_41,2,Pil09,Pilaster09,Pilaster09_MRis01_OFas_RhAMS,Pil09_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_42,2,Pil10,Pilaster10,Pilaster10_OFas_RhAMS,Pil10_OFas_RhAMS,OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_43,2,Pil10,Pilaster10,Pilaster10_MRis01_OFas_RhAMS,Pil10_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_44,2,Pil11,Pilaster11,Pilaster11_OFas_RhAMS,Pil11_OFas_RhAMS,OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_45,2,Pil11,Pilaster11,Pilaster11_MRis01_OFas_RhAMS,Pil11_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_46,2,Pil12,Pilaster12,Pilaster12_OFas_RhAMS,Pil12_OFas_RhAMS,OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_47,2,Pil12,Pilaster12,Pilaster12_MRis01_OFas_RhAMS,Pil12_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_48,2,Pil13,Pilaster13,Pilaster13_OFas_RhAMS,Pil13_OFas_RhAMS,OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
ID1608011301_49,2,Pil13,Pilaster13,Pilaster13_MRis01_OFas_RhAMS,Pil13_MRis01_OFas_RhAMS,MRis01_OFas_RhAMS,"1,19","8,45","0,42",0,0,0,0,0,0,0,0,0,0,0
