ID,Hierarchy,Object,ShortName,Link,Length,Height,Depth,Row,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_KsLeft,WIND_KsRight,WIND_KsTop,WIND_KsBottCornice,Pilaster,Arch
THL_FAS_ID160818135327_1,2,Aedi,Ädi_MRIS_MGi_RhLEI,MRIS_MGi_RhLEI,"2,301362991","2,717489243","0,4859104156",0,0,0,0,0,0,0,0,0,0,0,0
THL_FAS_ID160818135327_100,1,FS8,FS8_SWFas_RhLEI,SWFas_RhLEI,"0,456073761","0,4476548582","0,1400003434",0,0,0,0,0,0,0,0,0,0,0,0
THL_FAS_ID160818135327_1000,1,GeS3,GeS3_MGes_Port1_SWFas_RhLEI,MGes_Port1_SWFas_RhLEI,"1,975330353","0,1302742958","0,3179807663",0,0,0,0,0,0,0,0,0,1,0,0
THL_FAS_ID160818135327_1001,1,GeS2,GeS2_MGes_Port1_SWFas_RhLEI,MGes_Port1_SWFas_RhLEI,"0,5605506897","0,1356961727","0,4379405975",0,0,0,0,0,0,0,0,0,1,0,0
THL_FAS_ID160818135327_1002,1,GeS1,GeS1_MGes_Port1_SWFas_RhLEI,MGes_Port1_SWFas_RhLEI,"0,3941802979","0,1103863716","0,4022827148",0,0,0,0,0,0,0,0,0,1,0,0
THL_FAS_ID160818135327_1003,1,Kap1,Kap1_Pil03_Port1_SWFas_RhLEI,Pil03_Port1_SWFas_RhLEI,"0,3540992737","0,0782809258","0,3661928177",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1004,1,Kap2,Kap2_Pil03_Port1_SWFas_RhLEI,Pil03_Port1_SWFas_RhLEI,"0,2535324097","0,0430531502","0,3290777206",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1005,1,Sch1,Sch1_Pil03_Port1_SWFas_RhLEI,Pil03_Port1_SWFas_RhLEI,"0,2535324097","0,2869362831","0,3156642914",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1006,1,Sch2,Sch2_Pil03_Port1_SWFas_RhLEI,Pil03_Port1_SWFas_RhLEI,"0,2535324097","1,287693024","0,3156642914",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1007,1,Bs,Bs_Pil03_Port1_SWFas_RhLEI,Pil03_Port1_SWFas_RhLEI,"0,3677902222","0,0658552647","0,3629045486",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1008,1,Kap1,Kap1_Pil04_Port1_SWFas_RhLEI,Pil04_Port1_SWFas_RhLEI,"0,3540992737","0,0984282494","0,3661928177",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1009,1,Kap2,Kap2_Pil04_Port1_SWFas_RhLEI,Pil04_Port1_SWFas_RhLEI,"0,2488555908","0,0395007134","0,3206930161",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_101,1,FS9,FS9_SWFas_RhLEI,SWFas_RhLEI,"0,5476322174","0,4142276049","0,1400003434",0,0,0,0,0,0,0,0,0,0,0,0
THL_FAS_ID160818135327_1010,1,Sch1,Sch1_Pil04_Port1_SWFas_RhLEI,Pil04_Port1_SWFas_RhLEI,"0,2488555908","0,2416381836","0,3156642914",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1011,1,Sch2,Sch2_Pil04_Port1_SWFas_RhLEI,Pil04_Port1_SWFas_RhLEI,"0,2488555908","1,32883215","0,3156642914",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1012,1,Bs,Bs_Pil04_Port1_SWFas_RhLEI,Pil04_Port1_SWFas_RhLEI,"0,3677902222","0,0543100834","0,3751659393",0,0,0,0,0,0,0,0,0,0,1,0
THL_FAS_ID160818135327_1013,1,GeS21,GeS21_KGes_Port1_SWFas_RhLEI,KGes_Port1_SWFas_RhLEI,"0,3320617676","0,0599308014","0,344625473",0,0,0,0,0,0,0,0,0,1,0,0
THL_FAS_ID160818135327_1014,1,GeS20,GeS20_KGes_Port1_SWFas_RhLEI,KGes_Port1_SWFas_RhLEI,"0,417755127","0,0599308014","0,2920084",0,0,0,0,0,0,0,0,0,1,0,0
THL_FAS_ID160818135327_1015,1,GeS19,GeS19_KGes_Port1_SWFas_RhLEI,KGes_Port1_SWFas_RhLEI,"0,3364105225","0,0599308014","0,2920084",0,0,0,0,0,0,0,0,0,1,0,0
