Name,andere Schreibweisen,Geburtszeitpunkt,Sterbezeitpunkt,Kommentar
"Berckelius, Nicolaus",Berkelio;Nicolaes,,,
"Manderscheid, Franz",Blankenheim,1669,1731,
"Bentheim, Douairiere Gräfin von",,,,
"Bentheim, Ernst Wilhelm Graf zu","Graf zu Tecklenburg, Steinfurt und Limburg; Herr zu Rheda, Wevelinghofen, Hoya, Alpen und Helfenstein; Erbvogt zu Köln; der Römisch-Kaiserlichen Majestät Reichshofrat und Kämmerer",1623,1693,
"Bentheim, Arnold Maurits Willem Graf zu",Mauritz; Wilhelm,1663,1701,
"Bentheim, Johanetta Francisca Gräfin zu",,,,geborene Gräfin von Manderscheid-Blanckenheim
"Galen, Christoff Bernhard ",,1606-10-12,1678-09-19,
"Gesler, Herman von",Hermann; van,,,
"Norff, Johan Conradt",Norf,,,
"Crester, Gijsbert de",,,,
"Boeckholt, Adrian van",,1583,1660,
"Vos, Cornelis",Voss,1623,1684,
"Beughem, Victor von",,,,
"Breur, Adrian",,,,
"Horst, Berend ter",Berentt,1630,1706,um 1630; um 1706
Weutecom,,,,
"Krull, J",,,,
